panel_label,panel_dir,level,d,k,method,n,floor_dir_f1,skeleton_f1_mean,skeleton_f1_se,compelled_f1_mean,compelled_f1_se,directed_f1_mean,directed_f1_se,dag_shd_mean,dag_shd_se,cost_usd_mean,cost_usd_se,total_actions_mean,total_actions_se,intervene_actions_mean,intervene_actions_se,stats_actions_mean,stats_actions_se,gap_above_floor
GPT-5.4-mini,full_gpt54mini,0,4,3,llm_raw,9,0.215221,0.474868,0.061746,1.000000,0.000000,0.227072,0.044787,4.333333,0.166667,0.005093,0.000117,2.111111,0.111111,1.111111,0.111111,0.000000,0.000000,0.011851
GPT-5.4-mini,full_gpt54mini,0,4,3,llm_stats,8,0.215221,0.625000,0.081708,1.000000,0.000000,0.338095,0.113289,3.625000,0.564975,0.008217,0.000701,3.750000,0.313392,0.750000,0.163663,2.000000,0.267261,0.122874
GPT-5.4-mini,full_gpt54mini,0,4,3,llm_stats_cpdag_greedy,8,0.215221,0.531250,0.054412,1.000000,0.000000,0.489583,0.083982,2.750000,0.411877,0.006301,0.000332,5.500000,0.327327,1.500000,0.188982,3.000000,0.188982,0.274362
GPT-5.4-mini,full_gpt54mini,0,4,3,oracle,8,0.215221,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.784779
GPT-5.4-mini,full_gpt54mini,0,4,3,pc_cpdag_llm,8,0.215221,0.957143,0.028571,1.000000,0.000000,0.410714,0.105308,1.875000,0.350382,0.003555,0.000428,2.375000,0.182981,1.375000,0.182981,0.000000,0.000000,0.195493
GPT-5.4-mini,full_gpt54mini,0,4,3,pc_greedy,8,0.215221,0.975000,0.025000,1.000000,0.000000,0.808333,0.106486,0.625000,0.323899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.593112
GPT-5.4-mini,full_gpt54mini,1,6,6,llm_raw,8,0.195696,0.480420,0.048081,0.341667,0.122272,0.239598,0.066165,7.625000,0.595744,0.008082,0.000724,2.250000,0.163663,1.250000,0.163663,0.000000,0.000000,0.043902
GPT-5.4-mini,full_gpt54mini,1,6,6,llm_stats,8,0.195696,0.403641,0.068833,0.483333,0.125040,0.252381,0.080531,11.375000,0.864736,0.011390,0.000581,4.250000,0.250000,1.000000,0.000000,2.250000,0.250000,0.056685
GPT-5.4-mini,full_gpt54mini,1,6,6,llm_stats_cpdag_greedy,8,0.195696,0.138393,0.052471,0.175000,0.127825,0.138393,0.052471,6.000000,0.327327,0.006920,0.000378,4.875000,0.125000,0.750000,0.163663,3.125000,0.125000,-0.057303
GPT-5.4-mini,full_gpt54mini,1,6,6,oracle,8,0.195696,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.804304
GPT-5.4-mini,full_gpt54mini,1,6,6,pc_cpdag_llm,8,0.195696,0.816608,0.040451,0.631548,0.124302,0.409713,0.086119,4.375000,0.595744,0.003944,0.000503,2.250000,0.163663,1.250000,0.163663,0.000000,0.000000,0.214016
GPT-5.4-mini,full_gpt54mini,1,6,6,pc_greedy,8,0.195696,0.847727,0.041933,0.774405,0.065198,0.802273,0.042976,1.875000,0.398098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.606577
GPT-5.4-mini,full_gpt54mini,2,8,9,llm_raw,8,0.173421,0.265969,0.053690,0.174242,0.114212,0.089706,0.051662,14.875000,0.766194,0.010155,0.000994,2.250000,0.163663,1.250000,0.163663,0.000000,0.000000,-0.083715
GPT-5.4-mini,full_gpt54mini,2,8,9,llm_stats,8,0.173421,0.285579,0.066638,0.108333,0.083512,0.082869,0.044983,15.750000,2.462214,0.011581,0.000576,4.125000,0.350382,0.875000,0.125000,2.250000,0.313392,-0.090552
GPT-5.4-mini,full_gpt54mini,2,8,9,llm_stats_cpdag_greedy,8,0.173421,0.025000,0.025000,0.050000,0.050000,0.025000,0.025000,9.500000,0.267261,0.008608,0.000461,4.750000,0.163663,0.750000,0.163663,3.000000,0.000000,-0.148421
