run_id,timestamp_utc,panel,method,model,level,seed,runtime_seed,d,k,n_obs,n_int,noise_var,budget_slack,status,error,latency_sec,prompt_tokens,completion_tokens,total_tokens,cache_creation_input_tokens,cache_read_input_tokens,cost_usd,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,total_actions,stats_actions,intervene_actions,submit_actions,sanitized_overlap_count,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260430T083727Z,2026-04-30T08:37:27.249198+00:00,observational,pc,baseline,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,27.783252,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0
20260430T083727Z,2026-04-30T08:37:55.045967+00:00,observational,llm_raw_obs,openrouter/deepseek/deepseek-v4-flash,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,28.458978,2621,217,2838,0,0,0.0004277,3,0,3,1,3,0,1,0,0,1,0,0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0
20260430T083727Z,2026-04-30T08:38:23.518704+00:00,observational,llm_stats_obs,openrouter/deepseek/deepseek-v4-flash,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,96.371467,26982,1181,28163,0,0,0.0022444799999999997,3,0,3,1,3,0,9,8,0,1,0,3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,1.0
20260430T083727Z,2026-04-30T08:39:59.907009+00:00,active,pc_greedy,baseline,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,0.005326,0,0,0,0,0,0.0,3,0,3,1,3,2,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5
20260430T083727Z,2026-04-30T08:39:59.929274+00:00,active,llm_raw,openrouter/deepseek/deepseek-v4-flash,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,124.764358,10268,1171,11439,0,0,0.0017653999999999999,3,0,3,1,3,2,3,0,2,1,0,4,0,0.5,0.6666666666666666,0.5714285714285715,1.0,1.0,1.0,0.0,0.0,0.0,5,0.5
20260430T083727Z,2026-04-30T08:42:04.707057+00:00,active,llm_stats,openrouter/deepseek/deepseek-v4-flash,0,1276453582,12764535820007,4,3,50,25,0.5,2,failed,RuntimeError: LLM session exceeded max_steps=12 without submit_graph,146.468699,,,,,,,3,0,3,1,3,,,,,,,,,,,,,,,,,,,
20260430T083727Z,2026-04-30T08:44:31.188587+00:00,active,oracle,baseline,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,0.000376,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260430T092026Z,2026-04-30T09:20:26.286757+00:00,observational,pc,baseline,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,14.424876,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0
20260430T092026Z,2026-04-30T09:20:40.736260+00:00,observational,llm_raw_obs,openrouter/deepseek/deepseek-v4-flash,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,26.491128,2431,218,2649,0,0,0.00040138,3,0,3,1,3,0,1,0,0,1,0,4,0,0.5,0.6666666666666666,0.5714285714285715,1.0,1.0,1.0,0.0,0.0,0.0,5,1.0
20260430T092026Z,2026-04-30T09:21:07.246027+00:00,observational,llm_stats_obs,openrouter/deepseek/deepseek-v4-flash,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,50.771106,23171,962,24133,0,0,0.002309076,3,0,3,1,3,0,8,7,0,1,0,3,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,5,1.0
20260430T092026Z,2026-04-30T09:21:58.027236+00:00,active,pc_greedy,baseline,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,0.0056,0,0,0,0,0,0.0,3,0,3,1,3,2,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5
20260430T092026Z,2026-04-30T09:21:58.050296+00:00,active,llm_raw,openrouter/deepseek/deepseek-v4-flash,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,73.897926,9848,1100,10948,0,0,0.00168672,3,0,3,1,3,2,3,0,2,1,0,4,0,0.5,0.6666666666666666,0.5714285714285715,1.0,1.0,1.0,0.0,0.0,0.0,5,0.5
20260430T092026Z,2026-04-30T09:23:11.960318+00:00,active,llm_stats,openrouter/deepseek/deepseek-v4-flash,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,94.913917,41110,1663,42773,0,0,0.0036118879999999997,3,0,3,1,3,1,12,10,1,1,0,4,0,0.75,1.0,0.8571428571428571,1.0,1.0,1.0,0.25,0.3333333333333333,0.28571428571428575,3,1.0
20260430T092026Z,2026-04-30T09:24:46.888265+00:00,active,oracle,baseline,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,0.000458,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
