run_id,timestamp_utc,panel,method,model,level,seed,runtime_seed,d,k,n_obs,n_int,noise_var,budget_slack,status,error,latency_sec,prompt_tokens,completion_tokens,total_tokens,cache_creation_input_tokens,cache_read_input_tokens,cost_usd,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,total_actions,stats_actions,intervene_actions,submit_actions,sanitized_overlap_count,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260503T182229Z,2026-05-03T18:22:30.830585+00:00,observational,pc,baseline,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,30.343097,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0
20260503T182229Z,2026-05-03T18:23:01.210216+00:00,active,pc_greedy,baseline,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,0.022823,0,0,0,0,0,0.0,3,0,3,1,3,2,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5
20260503T182229Z,2026-05-03T18:23:01.281753+00:00,active,llm_raw,openrouter/deepseek/deepseek-v4-pro,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,789.879862,10469,9937,20406,0,0,0.052796819999999994,3,0,3,1,3,2,3,0,2,1,0,5,0,0.4,0.6666666666666666,0.5,1.0,1.0,1.0,0.4,0.6666666666666666,0.5,4,0.5
20260503T182229Z,2026-05-03T18:36:11.173350+00:00,active,llm_stats,openrouter/deepseek/deepseek-v4-pro,0,1276453582,12764535820007,4,3,50,25,0.5,2,failed,ValueError: Model must return exactly one causal_discovery_action tool call; got 0. content_prefix='',359.631788,,,,,,,3,0,3,1,3,,,,,,,,,,,,,,,,,,,
20260503T182229Z,2026-05-03T18:42:10.811135+00:00,active,pc_cpdag_llm,openrouter/deepseek/deepseek-v4-pro,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,229.686962,5381,8581,13962,0,0,0.0480837,3,0,3,1,3,2,3,0,2,1,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5
20260503T182229Z,2026-05-03T18:46:00.513839+00:00,active,llm_stats_cpdag_greedy,openrouter/deepseek/deepseek-v4-pro,0,1276453582,12764535820007,4,3,50,25,0.5,2,failed,Timeout: litellm.Timeout: Timeout Error: OpenrouterException - The operation was aborted,73.949521,,,,,,,3,0,3,1,3,,,,,,,,,,,,,,,,,,,
20260503T182229Z,2026-05-03T18:47:14.491659+00:00,active,oracle,baseline,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,0.000696,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260503T182229Z,2026-05-03T18:47:14.526632+00:00,observational,pc,baseline,0,27998312,279983120007,4,3,50,25,0.5,2,success,,0.014474,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0
20260503T182229Z,2026-05-03T18:47:14.564580+00:00,active,pc_greedy,baseline,0,27998312,279983120007,4,3,50,25,0.5,2,success,,0.021531,0,0,0,0,0,0.0,3,0,3,1,3,2,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5
20260503T182229Z,2026-05-03T18:47:14.616440+00:00,active,llm_raw,openrouter/deepseek/deepseek-v4-pro,0,27998312,279983120007,4,3,50,25,0.5,2,success,,694.877906,10564,21340,31904,0,0,0.1151076,3,0,3,1,3,2,3,0,2,1,0,4,0,0.75,1.0,0.8571428571428571,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,1,0.5
20260503T182229Z,2026-05-03T18:58:49.509867+00:00,active,llm_stats,openrouter/deepseek/deepseek-v4-pro,0,27998312,279983120007,4,3,50,25,0.5,2,success,,980.747184,63920,15896,79816,0,0,0.18773123999999997,3,0,3,1,3,1,16,14,1,1,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260503T182229Z,2026-05-03T19:15:10.271153+00:00,active,pc_cpdag_llm,openrouter/deepseek/deepseek-v4-pro,0,27998312,279983120007,4,3,50,25,0.5,2,success,,258.423537,2705,5260,7965,0,0,0.02799822,3,0,3,1,3,1,2,0,1,1,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260503T182229Z,2026-05-03T19:40:02.092974+00:00,active,llm_stats,openrouter/deepseek/deepseek-v4-pro,0,1276453582,12764535820007,4,3,50,25,0.5,2,failed,"RateLimitError: litellm.RateLimitError: RateLimitError: OpenrouterException - {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""deepseek/deepseek-v4-pro is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Together"",""is_byok"":false,""retry_after_seconds"":1}},""user_id"":""org_38eHGzwFo49dXNEZogGWB3n68tD""}",103.017654,,,,,,,3,0,3,1,3,,,,,,,,,,,,,,,,,,,
20260503T182229Z,2026-05-03T19:41:45.128648+00:00,active,llm_stats_cpdag_greedy,openrouter/deepseek/deepseek-v4-pro,0,1276453582,12764535820007,4,3,50,25,0.5,2,failed,Timeout: litellm.Timeout: Timeout Error: OpenrouterException - The operation was aborted,398.754269,,,,,,,3,0,3,1,3,,,,,,,,,,,,,,,,,,,
20260503T182229Z,2026-05-03T19:48:23.885634+00:00,active,llm_stats_cpdag_greedy,openrouter/deepseek/deepseek-v4-pro,0,27998312,279983120007,4,3,50,25,0.5,2,success,,1175.243407,58680,17578,76258,0,0,0.18616532,3,0,3,1,3,1,18,16,1,1,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260503T182229Z,2026-05-03T20:07:59.153774+00:00,active,oracle,baseline,0,27998312,279983120007,4,3,50,25,0.5,2,success,,0.000484,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260503T182229Z,2026-05-03T20:07:59.167051+00:00,observational,pc,baseline,0,931551983,9315519830007,4,3,50,25,0.5,2,success,,11.635564,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0
20260503T182229Z,2026-05-03T20:08:10.815132+00:00,active,pc_greedy,baseline,0,931551983,9315519830007,4,3,50,25,0.5,2,success,,0.004174,0,0,0,0,0,0.0,3,0,3,1,3,2,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5
20260503T182229Z,2026-05-03T20:08:10.830796+00:00,active,llm_raw,openrouter/deepseek/deepseek-v4-pro,0,931551983,9315519830007,4,3,50,25,0.5,2,failed,ValueError: Model must return exactly one causal_discovery_action tool call; got 0. content_prefix='',139.596177,,,,,,,3,0,3,1,3,,,,,,,,,,,,,,,,,,,
20260503T182229Z,2026-05-03T20:10:30.446616+00:00,active,llm_stats,openrouter/deepseek/deepseek-v4-pro,0,931551983,9315519830007,4,3,50,25,0.5,2,failed,Timeout: litellm.Timeout: Timeout Error: OpenrouterException - The operation was aborted,62.158355,,,,,,,3,0,3,1,3,,,,,,,,,,,,,,,,,,,
20260503T182229Z,2026-05-03T20:11:32.620656+00:00,active,pc_cpdag_llm,openrouter/deepseek/deepseek-v4-pro,0,931551983,9315519830007,4,3,50,25,0.5,2,failed,Timeout: litellm.Timeout: Timeout Error: OpenrouterException - The operation was aborted,18.826388,,,,,,,3,0,3,1,3,,,,,,,,,,,,,,,,,,,
20260503T182229Z,2026-05-03T20:11:51.462565+00:00,active,llm_stats_cpdag_greedy,openrouter/deepseek/deepseek-v4-pro,0,931551983,9315519830007,4,3,50,25,0.5,2,success,,1290.17107,62759,22805,85564,0,0,0.21741362000000003,3,0,3,1,3,1,19,17,1,1,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,1.0
20260503T182229Z,2026-05-03T20:33:21.648683+00:00,active,oracle,baseline,0,931551983,9315519830007,4,3,50,25,0.5,2,success,,0.000364,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260503T182229Z,2026-05-03T20:33:21.664082+00:00,observational,pc,baseline,0,974369856,9743698560007,4,3,50,25,0.5,2,success,,0.005866,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,0,2,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0
20260503T182229Z,2026-05-03T20:33:21.685156+00:00,active,pc_greedy,baseline,0,974369856,9743698560007,4,3,50,25,0.5,2,success,,0.005032,0,0,0,0,0,0.0,3,0,3,1,3,1,0,0,0,0,0,2,0,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,1,1.0
20260503T182229Z,2026-05-03T20:25:24.495106+00:00,active,llm_stats,openrouter/deepseek/deepseek-v4-pro,0,1276453582,12764535820007,4,3,50,25,0.5,2,failed,Timeout: litellm.Timeout: Timeout Error: OpenrouterException - The operation was aborted,646.930384,,,,,,,3,0,3,1,3,,,,,,,,,,,,,,,,,,,
20260503T182229Z,2026-05-03T20:36:11.442797+00:00,active,llm_stats_cpdag_greedy,openrouter/deepseek/deepseek-v4-pro,0,1276453582,12764535820007,4,3,50,25,0.5,2,failed,APIError: litellm.APIError: APIError: OpenrouterException - Provider returned error,152.337798,,,,,,,3,0,3,1,3,,,,,,,,,,,,,,,,,,,
20260503T182229Z,2026-05-03T20:38:43.796971+00:00,active,llm_raw,openrouter/deepseek/deepseek-v4-pro,0,931551983,9315519830007,4,3,50,25,0.5,2,success,,992.31179,15926,25995,41921,0,0,0.14145296000000002,3,0,3,1,3,3,4,0,3,1,0,2,0,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,1,0.3333333333333333
20260503T182229Z,2026-05-03T20:55:16.124876+00:00,active,llm_stats,openrouter/deepseek/deepseek-v4-pro,0,931551983,9315519830007,4,3,50,25,0.5,2,success,,782.582144,64649,25128,89777,0,0,0.23599757999999998,3,0,3,1,3,2,15,12,2,1,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,0.5
20260503T182229Z,2026-05-03T21:08:25.612863+00:00,active,llm_stats,openrouter/deepseek/deepseek-v4-pro,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,120.969318,12284,3526,15810,0,0,0.0413108,3,0,3,1,3,0,4,3,0,1,0,2,0,0.5,0.3333333333333333,0.4,1.0,1.0,1.0,0.0,0.0,0.0,4,1.0
20260503T182229Z,2026-05-03T21:10:26.608487+00:00,active,llm_stats_cpdag_greedy,openrouter/deepseek/deepseek-v4-pro,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,928.452646,75827,42694,118521,0,0,0.3130423,3,0,3,1,3,2,23,20,2,1,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5
20260503T182229Z,2026-05-03T21:25:55.076877+00:00,active,pc_cpdag_llm,openrouter/deepseek/deepseek-v4-pro,0,931551983,9315519830007,4,3,50,25,0.5,2,failed,ValueError: Model must return exactly one causal_discovery_action tool call; got 0. content_prefix='',264.08879,,,,,,,3,0,3,1,3,,,,,,,,,,,,,,,,,,,
20260503T182229Z,2026-05-03T21:41:30.676679+00:00,active,pc_cpdag_llm,openrouter/deepseek/deepseek-v4-pro,0,931551983,9315519830007,4,3,50,25,0.5,2,success,,480.187965,9139,15792,24931,0,0,0.0877039,3,0,3,1,3,3,4,0,3,1,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.3333333333333333
20260503T182229Z,2026-05-03T21:49:30.884092+00:00,active,llm_stats_cpdag_greedy,openrouter/deepseek/deepseek-v4-pro,0,931551983,9315519830007,4,3,50,25,0.5,2,failed,ValueError: Model must return exactly one causal_discovery_action tool call; got 0. content_prefix='',1022.809521,,,,,,,3,0,3,1,3,,,,,,,,,,,,,,,,,,,
20260503T182229Z,2026-05-03T22:06:33.709157+00:00,active,oracle,baseline,0,931551983,9315519830007,4,3,50,25,0.5,2,success,,0.000408,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260503T182229Z,2026-05-03T22:06:33.725757+00:00,observational,pc,baseline,0,974369856,9743698560007,4,3,50,25,0.5,2,success,,0.005714,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,0,2,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0
20260503T182229Z,2026-05-03T22:06:33.746784+00:00,active,pc_greedy,baseline,0,974369856,9743698560007,4,3,50,25,0.5,2,success,,0.004237,0,0,0,0,0,0.0,3,0,3,1,3,1,0,0,0,0,0,2,0,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,1,1.0
20260503T182229Z,2026-05-03T22:06:33.768373+00:00,active,llm_raw,openrouter/deepseek/deepseek-v4-pro,0,974369856,9743698560007,4,3,50,25,0.5,2,success,,309.381554,10544,10862,21406,0,0,0.06760536,3,0,3,1,3,2,3,0,2,1,0,2,0,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,1,0.5
20260503T182229Z,2026-05-03T22:11:43.165670+00:00,active,llm_stats,openrouter/deepseek/deepseek-v4-pro,0,974369856,9743698560007,4,3,50,25,0.5,2,success,,719.177731,53093,13219,66312,0,0,0.14719701999999998,3,0,3,1,3,1,14,12,1,1,0,3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1.0
20260503T182229Z,2026-05-03T22:23:42.359582+00:00,active,pc_cpdag_llm,openrouter/deepseek/deepseek-v4-pro,0,974369856,9743698560007,4,3,50,25,0.5,2,success,,244.931228,2717,4833,7550,0,0,0.02154642,3,0,3,1,3,1,2,0,1,1,0,2,0,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,0.5,0.3333333333333333,0.4,2,1.0
20260503T182229Z,2026-05-03T22:27:47.308547+00:00,active,llm_stats_cpdag_greedy,openrouter/deepseek/deepseek-v4-pro,0,974369856,9743698560007,4,3,50,25,0.5,2,success,,931.042039,58448,16769,75217,0,0,0.16684511999999999,3,0,3,1,3,1,18,16,1,1,0,3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1.0
20260503T182229Z,2026-05-03T22:43:18.369511+00:00,active,oracle,baseline,0,974369856,9743698560007,4,3,50,25,0.5,2,success,,0.000396,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260503T182229Z,2026-05-03T22:43:18.385716+00:00,observational,pc,baseline,0,1539978433,15399784330007,4,3,50,25,0.5,2,success,,0.006194,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,2,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,1.0
20260503T182229Z,2026-05-03T22:43:18.410177+00:00,active,pc_greedy,baseline,0,1539978433,15399784330007,4,3,50,25,0.5,2,success,,0.004191,0,0,0,0,0,0.0,3,0,3,1,3,1,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,1.0
20260503T182229Z,2026-05-03T22:43:18.432956+00:00,active,llm_raw,openrouter/deepseek/deepseek-v4-pro,0,1539978433,15399784330007,4,3,50,25,0.5,2,success,,1068.342332,10714,19239,29953,0,0,0.08559408,3,0,3,1,3,2,3,0,2,1,0,4,0,0.75,1.0,0.8571428571428571,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,1,0.5
20260503T182229Z,2026-05-03T23:01:06.793277+00:00,active,llm_stats,openrouter/deepseek/deepseek-v4-pro,0,1539978433,15399784330007,4,3,50,25,0.5,2,failed,ValueError: Model must return exactly one causal_discovery_action tool call; got 0. content_prefix='',1315.225308,,,,,,,3,0,3,1,3,,,,,,,,,,,,,,,,,,,
20260503T182229Z,2026-05-03T23:23:02.045134+00:00,active,pc_cpdag_llm,openrouter/deepseek/deepseek-v4-pro,0,1539978433,15399784330007,4,3,50,25,0.5,2,success,,580.171106,5525,9574,15099,0,0,0.04293102,3,0,3,1,3,2,3,0,2,1,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,0.5
20260503T182229Z,2026-05-03T23:32:42.231255+00:00,active,llm_stats_cpdag_greedy,openrouter/deepseek/deepseek-v4-pro,0,1539978433,15399784330007,4,3,50,25,0.5,2,success,,1521.680584,79155,26843,105998,0,0,0.23302353999999997,3,0,3,1,3,2,23,20,2,1,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5
20260503T182229Z,2026-05-03T23:58:03.928279+00:00,active,oracle,baseline,0,1539978433,15399784330007,4,3,50,25,0.5,2,success,,0.000321,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260503T182229Z,2026-05-03T23:58:03.946725+00:00,observational,pc,baseline,0,868078822,8680788220007,4,3,50,25,0.5,2,success,,0.005022,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0
20260503T182229Z,2026-05-03T23:58:03.967738+00:00,active,pc_greedy,baseline,0,868078822,8680788220007,4,3,50,25,0.5,2,success,,0.006371,0,0,0,0,0,0.0,3,0,3,1,3,2,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5
20260503T182229Z,2026-05-03T23:55:24.333815+00:00,active,llm_stats_cpdag_greedy,openrouter/deepseek/deepseek-v4-pro,0,931551983,9315519830007,4,3,50,25,0.5,2,success,,1226.663237,73463,25863,99326,0,0,0.22450866,3,0,3,1,3,2,22,19,2,1,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5
20260503T182229Z,2026-05-03T23:58:03.992610+00:00,active,llm_raw,openrouter/deepseek/deepseek-v4-pro,0,868078822,8680788220007,4,3,50,25,0.5,2,success,,1172.516884,15804,22950,38754,0,0,0.10736496000000001,3,0,3,1,3,3,4,0,3,1,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.3333333333333333
20260503T182229Z,2026-05-04T00:17:36.525459+00:00,active,llm_stats,openrouter/deepseek/deepseek-v4-pro,0,868078822,8680788220007,4,3,50,25,0.5,2,success,,871.576761,57502,20753,78255,0,0,0.15668351999999997,3,0,3,1,3,1,15,13,1,1,0,4,0,0.75,1.0,0.8571428571428571,1.0,1.0,1.0,0.25,0.3333333333333333,0.28571428571428575,3,1.0
