panel,level,method,model,n_total,n_success,n_failed,skeleton_f1_mean,skeleton_f1_std,skeleton_f1_ci95_low,skeleton_f1_ci95_high,directed_f1_mean,directed_f1_std,directed_f1_ci95_low,directed_f1_ci95_high,dag_shd_mean,dag_shd_std,dag_shd_ci95_low,dag_shd_ci95_high,efficiency_mean,efficiency_std,efficiency_ci95_low,efficiency_ci95_high,submit_directed_mean,submit_undirected_mean,interventions_used_mean,total_actions_mean,stats_actions_mean,intervene_actions_mean,submit_actions_mean,sanitized_overlap_count_mean,cost_usd_mean
active,0,llm_raw,openrouter/deepseek/deepseek-v4-pro,12,6,6,0.8023809523809525,0.16522505780870878,0.6701733714922439,0.9345885332696612,0.8023809523809525,0.16522505780870878,0.6701733714922439,0.9345885332696612,1.3333333333333333,1.3662601021279464,0.24009756532880777,2.4265691013378587,0.4444444444444444,0.08606629658238706,0.37557706428966636,0.5133118245992225,3.3333333333333335,0.0,2.3333333333333335,3.3333333333333335,0.0,2.3333333333333335,1.0,0.0,0.09498696333333334
active,0,llm_stats,openrouter/deepseek/deepseek-v4-pro,16,6,10,0.7968253968253968,0.22989037447913235,0.6128747861699988,0.9807760074807947,0.5238095238095238,0.38095238095238093,0.21898413359650615,0.8286349140225415,2.0,1.4142135623730951,0.8683934723883335,3.1316065276116665,0.8333333333333334,0.2581988897471611,0.6267311928689993,1.0399354737976676,3.1666666666666665,0.0,1.1666666666666667,13.666666666666666,11.5,1.1666666666666667,1.0,0.0,0.17802559999999998
active,0,llm_stats_cpdag_greedy,openrouter/deepseek/deepseek-v4-pro,17,6,11,0.9444444444444443,0.13608276348795434,0.8355555555555554,1.0533333333333332,0.8888888888888888,0.17213259316477408,0.7511541285793327,1.0266236491984448,0.5,0.8366600265340756,-0.1694674500426938,1.1694674500426938,0.75,0.27386127875258304,0.5308653382050206,0.9691346617949794,3.0,0.0,1.5,20.5,18.0,1.5,1.0,0.0,0.22349975999999996
active,0,oracle,baseline,13,13,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,0,pc_cpdag_llm,openrouter/deepseek/deepseek-v4-pro,13,6,7,0.9666666666666667,0.08164965809277258,0.9013333333333333,1.032,0.7888888888888889,0.327730693416725,0.5266497180618566,1.0511280597159212,0.6666666666666666,1.0327955589886446,-0.15974189519067006,1.4930752285240034,0.6388888888888888,0.28706690406141805,0.4091875261385065,0.8685902516392712,2.8333333333333335,0.0,1.8333333333333333,2.8333333333333335,0.0,1.8333333333333333,1.0,0.0,0.04319166666666668
active,0,pc_greedy,baseline,12,12,0,0.9666666666666667,0.07784989441615227,0.9226189423190682,1.010714391014265,0.7999999999999999,0.29128763250176765,0.6351885068242257,0.9648114931757742,0.6666666666666666,0.8876253645985945,0.16444533833993913,1.1688879949933941,0.625,0.22613350843332272,0.4970529228725621,0.7529470771274379,2.8333333333333335,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0
active,1,llm_raw,openrouter/deepseek/deepseek-v4-pro,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,
active,1,llm_stats,openrouter/deepseek/deepseek-v4-pro,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,
active,1,llm_stats_cpdag_greedy,openrouter/deepseek/deepseek-v4-pro,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,
active,1,oracle,baseline,16,16,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,1,pc_cpdag_llm,openrouter/deepseek/deepseek-v4-pro,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,
active,1,pc_greedy,baseline,16,16,0,0.8477272727272727,0.11458392812267364,0.7915811479471626,0.9038733975073827,0.8022727272727272,0.11743352846957904,0.7447302983226335,0.859815156222821,1.875,1.0878112581387147,1.3419724835120297,2.4080275164879703,0.7708333333333333,0.25730080393132027,0.6447559394069864,0.8969107272596801,4.875,0.0,2.125,0.0,0.0,0.0,0.0,0.0,0.0
active,2,llm_raw,openrouter/deepseek/deepseek-v4-pro,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,
active,2,llm_stats,openrouter/deepseek/deepseek-v4-pro,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,
active,2,llm_stats_cpdag_greedy,openrouter/deepseek/deepseek-v4-pro,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,
active,2,oracle,baseline,16,16,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,2,pc_cpdag_llm,openrouter/deepseek/deepseek-v4-pro,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,
active,2,pc_greedy,baseline,16,16,0,0.7403186274509804,0.10088260830701014,0.6908861493805455,0.7897511055214154,0.6126925770308123,0.13449577109471722,0.5467896491944009,0.6785955048672236,4.875,1.5,4.14,5.61,0.7708333333333333,0.25730080393132027,0.6447559394069864,0.8969107272596801,6.125,0.0,2.125,0.0,0.0,0.0,0.0,0.0,0.0
active,3,llm_raw,openrouter/deepseek/deepseek-v4-pro,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,
active,3,llm_stats,openrouter/deepseek/deepseek-v4-pro,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,
active,3,llm_stats_cpdag_greedy,openrouter/deepseek/deepseek-v4-pro,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,
active,3,oracle,baseline,16,16,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,3,pc_cpdag_llm,openrouter/deepseek/deepseek-v4-pro,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,
active,3,pc_greedy,baseline,16,16,0,0.779334700387332,0.08438528712009073,0.7379859096984875,0.8206834910761764,0.6966564137616769,0.11989206672233063,0.6379093010677348,0.7554035264556189,5.5,1.5491933384829668,4.740895264143346,6.259104735856654,0.6354166666666666,0.25797466140287095,0.5090090825792599,0.7618242507540733,8.5,0.25,2.75,0.0,0.0,0.0,0.0,0.0,0.0
active,4,llm_raw,openrouter/deepseek/deepseek-v4-pro,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,
active,4,llm_stats,openrouter/deepseek/deepseek-v4-pro,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,
active,4,llm_stats_cpdag_greedy,openrouter/deepseek/deepseek-v4-pro,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,
