panel,level,method,model,n_total,n_success,n_failed,skeleton_f1_mean,skeleton_f1_std,skeleton_f1_ci95_low,skeleton_f1_ci95_high,directed_f1_mean,directed_f1_std,directed_f1_ci95_low,directed_f1_ci95_high,dag_shd_mean,dag_shd_std,dag_shd_ci95_low,dag_shd_ci95_high,efficiency_mean,efficiency_std,efficiency_ci95_low,efficiency_ci95_high,submit_directed_mean,submit_undirected_mean,interventions_used_mean,total_actions_mean,stats_actions_mean,intervene_actions_mean,submit_actions_mean,sanitized_overlap_count_mean,cost_usd_mean
active,0,llm_raw,google/gemini-3-flash-preview,16,8,8,0.7294642857142857,0.10337625288171333,0.6578281972764971,0.8011003741520742,0.51875,0.31081999009964884,0.30336273572675876,0.7341372642732413,2.625,1.3024701806293193,1.7224342129240662,3.527565787075934,0.5,0.0,0.5,0.5,3.5,0.375,2.0,3.0,0.0,2.0,1.0,0.0,0.0104148125
active,0,llm_stats,google/gemini-3-flash-preview,16,8,8,0.7142857142857142,0.19879781219323073,0.5765258588205687,0.8520455697508597,0.3928571428571429,0.4030576365407629,0.11355245061028663,0.6721618351039992,2.875,1.6420805617960927,1.7370962255093798,4.012903774490621,0.6666666666666666,0.28171808490950556,0.47144599380871566,0.8618873395246176,3.625,0.0,1.75,10.375,7.625,1.75,1.0,0.0,0.032492125
active,0,llm_stats_cpdag_greedy,google/gemini-3-flash-preview,16,8,8,0.9464285714285714,0.1515228816828316,0.8414285714285714,1.0514285714285714,0.7916666666666666,0.3959116463884736,0.5173138929528869,1.0660194403804464,0.875,1.807721533549109,-0.37768711177212944,2.127687111772129,0.5625,0.1767766952966369,0.44,0.6849999999999999,3.125,0.0,1.75,19.25,16.5,1.75,1.0,0.0,0.05412
active,0,oracle,baseline,16,16,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,0,pc_cpdag_llm,google/gemini-3-flash-preview,16,8,8,0.875,0.3535533905932738,0.63,1.1199999999999999,0.625,0.3753305421532011,0.3649092038879072,0.8850907961120928,1.125,1.1259916264596033,0.3447276116637217,1.9052723883362783,0.6875,0.25877458475338283,0.5081783615957071,0.8668216384042929,2.625,0.0,1.625,2.625,0.0,1.625,1.0,0.0,0.0041235
active,0,pc_greedy,baseline,16,16,0,0.975,0.0683130051063973,0.9415266274978653,1.0084733725021346,0.8083333333333333,0.2909753712372693,0.6657554014270715,0.9509112652395952,0.625,0.8850612031567836,0.19132001045317604,1.058679989546824,0.625,0.22360679774997896,0.5154326691025103,0.7345673308974897,2.875,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0
active,1,llm_raw,google/gemini-3-flash-preview,16,7,9,0.6025165310879597,0.13847999167725544,0.49992911761779224,0.7051039445581271,0.41423655709369994,0.19462140902555064,0.27005899962833513,0.5584141145590648,6.142857142857143,2.410295378065479,4.357285339017637,7.928428946696649,0.7857142857142857,0.2672612419124244,0.5877243869820524,0.983704184446519,6.428571428571429,0.0,2.0,3.0,0.0,2.0,1.0,0.0,0.014660142857142858
active,1,llm_stats,google/gemini-3-flash-preview,16,8,8,0.644534632034632,0.11946918947741303,0.5617467074927396,0.7273225565765244,0.3450757575757576,0.16200120771885945,0.23281464808810992,0.45733686706340526,6.125,1.5526475085202969,5.049070169574242,7.200929830425758,0.75,0.2672612419124244,0.5647974082254786,0.9352025917745214,6.25,0.0,1.75,18.0,15.25,1.75,1.0,0.0,0.09530405624999999
active,1,llm_stats_cpdag_greedy,google/gemini-3-flash-preview,16,8,8,0.7278346653346653,0.06668474574246673,0.6816244941367904,0.7740448365325403,0.5789710289710289,0.24057320454821152,0.41226230354936655,0.7456797543926913,4.25,1.5811388300841898,3.154326691025103,5.345673308974897,0.6041666666666666,0.2808363360020345,0.40955701462785676,0.7987763187054765,6.25,0.125,2.375,29.375,26.0,2.375,1.0,0.0,0.11295840625
active,1,oracle,baseline,16,16,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
