run_id,timestamp_utc,panel,method,model,level,seed,runtime_seed,d,k,n_obs,n_int,noise_var,budget_slack,status,error,latency_sec,prompt_tokens,completion_tokens,total_tokens,cache_creation_input_tokens,cache_read_input_tokens,cost_usd,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,total_actions,stats_actions,intervene_actions,submit_actions,sanitized_overlap_count,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260504T053733Z,2026-05-04T05:37:35.031039+00:00,observational,pc,baseline,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,34.646229,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0
20260504T053733Z,2026-05-04T05:38:09.706740+00:00,active,pc_greedy,baseline,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,0.016898,0,0,0,0,0,0.0,3,0,3,1,3,2,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5
20260504T053733Z,2026-05-04T05:38:09.750243+00:00,active,llm_raw,openai/gpt-4.1-mini,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,42.563144,9334,300,9634,0,0,0.0042136,3,0,3,1,3,2,3,0,2,1,0,4,0,0.25,0.3333333333333333,0.28571428571428575,1.0,1.0,1.0,0.25,0.3333333333333333,0.28571428571428575,5,0.5
20260504T053733Z,2026-05-04T05:38:52.364076+00:00,active,llm_stats,openai/gpt-4.1-mini,0,1276453582,12764535820007,4,3,50,25,0.5,2,,,2.447136,,,,,,,3,0,3,1,3,,,,,,,,,,,,,,,,,,,
20260504T054452Z,2026-05-04T05:44:54.367006+00:00,observational,pc,baseline,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,23.815804,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0
20260504T054452Z,2026-05-04T05:45:18.217512+00:00,active,pc_greedy,baseline,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,0.022097,0,0,0,0,0,0.0,3,0,3,1,3,2,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5
20260504T054452Z,2026-05-04T05:45:18.274493+00:00,active,llm_raw,gpt-5.4-mini,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,43.990113,5539,266,5805,0,0,0.00535125,3,0,3,1,3,1,2,0,1,1,0,3,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,1.0
20260504T054452Z,2026-05-04T05:46:02.307950+00:00,active,llm_stats,gpt-5.4-mini,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,7.841044,11723,422,12145,0,0,0.008617650000000001,3,0,3,1,3,1,4,2,1,1,0,3,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,1.0
20260504T054452Z,2026-05-04T05:46:10.182170+00:00,active,pc_cpdag_llm,gpt-5.4-mini,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,5.034286,4586,379,4965,0,0,0.005145,3,0,3,1,3,2,3,0,2,1,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,0.5
20260504T054452Z,2026-05-04T05:46:15.254572+00:00,active,llm_stats_cpdag_greedy,gpt-5.4-mini,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,3.916438,7775,262,8037,0,0,0.004591049999999999,3,0,3,1,3,1,4,2,1,1,0,1,0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,2,1.0
20260504T054452Z,2026-05-04T05:46:19.206190+00:00,active,oracle,baseline,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,0.000723,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260504T054452Z,2026-05-04T05:46:19.246558+00:00,observational,pc,baseline,0,27998312,279983120007,4,3,50,25,0.5,2,success,,0.039396,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0
20260504T054452Z,2026-05-04T05:46:19.336362+00:00,active,pc_greedy,baseline,0,27998312,279983120007,4,3,50,25,0.5,2,success,,0.042698,0,0,0,0,0,0.0,3,0,3,1,3,2,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5
20260504T054452Z,2026-05-04T05:46:19.428070+00:00,active,llm_raw,gpt-5.4-mini,0,27998312,279983120007,4,3,50,25,0.5,2,success,,3.545009,5577,222,5799,0,0,0.005181750000000001,3,0,3,1,3,1,2,0,1,1,0,3,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,5,1.0
20260504T054452Z,2026-05-04T05:46:23.011526+00:00,active,llm_stats,gpt-5.4-mini,0,27998312,279983120007,4,3,50,25,0.5,2,success,,7.41351,15497,523,16020,0,0,0.01086585,3,0,3,1,3,1,5,3,1,1,0,2,2,0.5,0.6666666666666666,0.5714285714285715,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,3,1.0
20260504T054452Z,2026-05-04T05:46:30.463272+00:00,active,pc_cpdag_llm,gpt-5.4-mini,0,27998312,279983120007,4,3,50,25,0.5,2,success,,4.380026,4538,377,4915,0,0,0.0051,3,0,3,1,3,2,3,0,2,1,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5
20260504T054452Z,2026-05-04T05:46:34.885145+00:00,active,llm_stats_cpdag_greedy,gpt-5.4-mini,0,27998312,279983120007,4,3,50,25,0.5,2,success,,5.062782,10526,339,10865,0,0,0.0059640000000000006,3,0,3,1,3,1,5,3,1,1,0,1,0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,2,1.0
20260504T054452Z,2026-05-04T05:46:40.196573+00:00,active,oracle,baseline,0,27998312,279983120007,4,3,50,25,0.5,2,success,,0.000864,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260504T054452Z,2026-05-04T05:46:40.243734+00:00,observational,pc,baseline,0,931551983,9315519830007,4,3,50,25,0.5,2,success,,0.0575,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0
20260504T054452Z,2026-05-04T05:46:40.361150+00:00,active,pc_greedy,baseline,0,931551983,9315519830007,4,3,50,25,0.5,2,success,,0.031092,0,0,0,0,0,0.0,3,0,3,1,3,2,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5
20260504T054452Z,2026-05-04T05:46:40.447865+00:00,active,llm_raw,gpt-5.4-mini,0,931551983,9315519830007,4,3,50,25,0.5,2,success,,3.28847,5604,231,5835,0,0,0.0052425,3,0,3,1,3,1,2,0,1,1,0,3,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,1.0
20260504T054452Z,2026-05-04T05:46:43.776115+00:00,active,llm_stats,gpt-5.4-mini,0,931551983,9315519830007,4,3,50,25,0.5,2,success,,5.949076,11820,471,12291,0,0,0.0089109,3,0,3,1,3,1,4,2,1,1,0,4,0,0.5,0.6666666666666666,0.5714285714285715,1.0,1.0,1.0,0.0,0.0,0.0,5,1.0
20260504T054452Z,2026-05-04T05:46:49.770204+00:00,active,pc_cpdag_llm,gpt-5.4-mini,0,931551983,9315519830007,4,3,50,25,0.5,2,success,,4.178403,4488,307,4795,0,0,0.0047475,3,0,3,1,3,2,3,0,2,1,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,0.5
20260504T054452Z,2026-05-04T05:46:54.005315+00:00,active,llm_stats_cpdag_greedy,gpt-5.4-mini,0,931551983,9315519830007,4,3,50,25,0.5,2,success,,5.809986,10579,368,10947,0,0,0.0064798500000000005,3,0,3,1,3,1,5,3,1,1,0,3,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,1.0
20260504T054452Z,2026-05-04T05:46:59.859017+00:00,active,oracle,baseline,0,931551983,9315519830007,4,3,50,25,0.5,2,success,,0.000609,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260504T054452Z,2026-05-04T05:46:59.920704+00:00,observational,pc,baseline,0,974369856,9743698560007,4,3,50,25,0.5,2,success,,0.03739,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,0,2,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0
20260504T054452Z,2026-05-04T05:47:00.012240+00:00,active,pc_greedy,baseline,0,974369856,9743698560007,4,3,50,25,0.5,2,success,,0.042386,0,0,0,0,0,0.0,3,0,3,1,3,1,0,0,0,0,0,2,0,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,1,1.0
