panel,level,method,model,n_total,n_success,n_failed,skeleton_f1_mean,skeleton_f1_std,skeleton_f1_ci95_low,skeleton_f1_ci95_high,directed_f1_mean,directed_f1_std,directed_f1_ci95_low,directed_f1_ci95_high,dag_shd_mean,dag_shd_std,dag_shd_ci95_low,dag_shd_ci95_high,efficiency_mean,efficiency_std,efficiency_ci95_low,efficiency_ci95_high,submit_directed_mean,submit_undirected_mean,interventions_used_mean,total_actions_mean,stats_actions_mean,intervene_actions_mean,submit_actions_mean,sanitized_overlap_count_mean,cost_usd_mean
active,0,llm_raw,gpt-5.4-mini,8,8,0,0.4985119047619047,0.18293284953130126,0.37174590752465053,0.6252779019991589,0.2197420634920635,0.14170195416635178,0.12154761904761906,0.3179365079365079,4.25,0.4629100498862757,3.9292197013530914,4.570780298646909,1.0,0.0,1.0,1.0,3.75,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.005202562500000001
active,0,llm_raw,openai/gpt-4.1-mini,1,1,0,0.28571428571428575,0.0,0.28571428571428575,0.28571428571428575,0.28571428571428575,0.0,0.28571428571428575,0.28571428571428575,5.0,0.0,5.0,5.0,0.5,0.0,0.5,0.5,4.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0042136
active,0,llm_stats,gpt-5.4-mini,8,8,0,0.625,0.2311048658546676,0.46485249854517796,0.785147501454822,0.3380952380952381,0.3204305493573471,0.1160481960323255,0.5601422801581507,3.625,1.5979898086569353,2.517649558631054,4.732350441368946,1.0,0.0,1.0,1.0,3.0,0.75,0.75,3.75,2.0,0.75,1.0,0.0,0.008217375
active,0,llm_stats,openai/gpt-4.1-mini,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
active,0,llm_stats_cpdag_greedy,gpt-5.4-mini,8,8,0,0.53125,0.15390099373628444,0.4246020524237704,0.6378979475762296,0.48958333333333326,0.2375365468956537,0.32497890430557125,0.6541877623610952,2.75,1.164964745021435,1.9427206183730443,3.5572793816269557,0.75,0.2672612419124244,0.5647974082254786,0.9352025917745214,2.875,0.0,1.5,5.5,3.0,1.5,1.0,0.0,0.006301106250000001
active,0,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,0,pc_cpdag_llm,gpt-5.4-mini,8,8,0,0.9571428571428571,0.08081220356417686,0.901142857142857,1.0131428571428571,0.4107142857142857,0.297857047695162,0.20430988222982083,0.6171186891987506,1.875,0.9910312089651149,1.1882504095377997,2.5617495904622003,0.8125,0.25877458475338283,0.6331783615957071,0.9918216384042929,3.0,0.0,1.375,2.375,0.0,1.375,1.0,0.0,0.00355471875
active,0,pc_greedy,baseline,9,9,0,0.9777777777777779,0.06666666666666665,0.9342222222222223,1.0213333333333334,0.8296296296296295,0.2888888888888889,0.6408888888888887,1.0183703703703704,0.5555555555555556,0.8819171036881968,-0.020630285520732983,1.1317413966318441,0.6111111111111112,0.2204792759220492,0.467064650842039,0.7551575713801832,2.888888888888889,0.0,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0
active,1,llm_raw,gpt-5.4-mini,8,8,0,0.4804195804195803,0.13599316119842678,0.3861811276707455,0.5746580331684151,0.23959790209790208,0.1871440247794416,0.10991370929741737,0.3692820948983868,7.625,1.685018016012207,6.457342087767141,8.79265791223286,0.9375,0.1767766952966369,0.8150000000000001,1.06,6.0,0.0,1.25,2.25,0.0,1.25,1.0,0.0,0.0080818125
active,1,llm_stats,gpt-5.4-mini,8,8,0,0.40364145658263306,0.19468964528637908,0.2687284155420069,0.5385544976232592,0.2523809523809524,0.22777639510669329,0.0945399634782666,0.41022194128363815,11.375,2.445841952609133,9.680117998207544,13.069882001792456,1.0,0.0,1.0,1.0,4.875,5.5,1.0,4.25,2.25,1.0,1.0,0.0,0.011390006250000001
active,1,llm_stats_cpdag_greedy,gpt-5.4-mini,8,8,0,0.13839285714285715,0.14840932581323246,0.03555044128247396,0.24123527300324032,0.13839285714285715,0.14840932581323246,0.03555044128247396,0.24123527300324032,6.0,0.9258200997725514,5.358439402706183,6.641560597293817,1.0,0.0,1.0,1.0,1.0,0.0,0.75,4.875,3.125,0.75,1.0,0.0,0.0069202125
active,1,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,1,pc_cpdag_llm,gpt-5.4-mini,8,8,0,0.8166083916083916,0.11441315993929302,0.7373241167833375,0.8958926664334457,0.40971250971250966,0.2435818849383714,0.24091887515066837,0.578506144274351,4.375,1.685018016012207,3.207342087767141,5.542657912232859,1.0,0.0,1.0,1.0,3.75,1.25,1.25,2.25,0.0,1.25,1.0,0.0,0.0039438749999999995
active,1,pc_greedy,baseline,8,8,0,0.8477272727272727,0.11860563367742534,0.7655377618242424,0.929916783630303,0.8022727272727272,0.1215552502633595,0.7180392363576789,0.8865062181877756,1.875,1.1259916264596033,1.0947276116637217,2.6552723883362783,0.7708333333333333,0.26633163477615585,0.586274926438509,0.9553917402281575,4.875,0.0,2.125,0.0,0.0,0.0,0.0,0.0,0.0
active,2,llm_raw,gpt-5.4-mini,8,8,0,0.26596899724802203,0.1518570389326719,0.1607374380878242,0.37120055640821986,0.08970588235294118,0.1461230732831888,-0.011552241333293217,0.19096400603917557,14.875,2.1671244937540095,13.373259343295254,16.376740656704747,1.0,0.0,1.0,1.0,8.875,0.375,1.25,2.25,0.0,1.25,1.0,0.0,0.010154906250000002
