panel,level,method,model,n_total,n_success,n_failed,skeleton_f1_mean,skeleton_f1_std,skeleton_f1_ci95_low,skeleton_f1_ci95_high,directed_f1_mean,directed_f1_std,directed_f1_ci95_low,directed_f1_ci95_high,dag_shd_mean,dag_shd_std,dag_shd_ci95_low,dag_shd_ci95_high,efficiency_mean,efficiency_std,efficiency_ci95_low,efficiency_ci95_high,submit_directed_mean,submit_undirected_mean,interventions_used_mean,total_actions_mean,stats_actions_mean,intervene_actions_mean,submit_actions_mean,sanitized_overlap_count_mean,cost_usd_mean
active,0,llm_raw,gpt-5.5,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.375,0.07715167498104596,0.3215366168921819,0.4284633831078181,3.0,0.0,2.75,3.75,0.0,2.75,1.0,0.0,0.28452375
active,0,llm_stats,gpt-5.5,9,9,0,0.9841269841269842,0.04761904761904764,0.9530158730158731,1.0152380952380953,0.9841269841269842,0.04761904761904764,0.9530158730158731,1.0152380952380953,0.1111111111111111,0.3333333333333333,-0.10666666666666666,0.3288888888888889,0.4074074074074074,0.08784104611578833,0.35001792394509235,0.4647968908697224,3.111111111111111,0.0,2.5555555555555554,6.777777777777778,3.2222222222222223,2.5555555555555554,1.0,0.0,0.29282255555555564
active,0,llm_stats_cpdag_greedy,gpt-5.5,9,9,0,0.8703703703703703,0.20030840419244383,0.7395022129646404,1.0012385277761002,0.8148148148148148,0.33793125168323446,0.5940330637151016,1.0355965659145279,0.7777777777777778,1.2018504251546631,-0.007431166656602151,1.5629867222121576,0.7222222222222222,0.26352313834736496,0.5500537718352771,0.8943906726091673,2.7777777777777777,0.0,1.4444444444444444,5.333333333333333,2.888888888888889,1.4444444444444444,1.0,0.0,0.21275166666666664
active,0,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,0,pc_cpdag_llm,gpt-5.5,8,8,0,0.975,0.07071067811865474,0.9259999999999999,1.024,0.8916666666666666,0.23620679667116015,0.7279837075319079,1.0553496258014254,0.375,0.7440238091428449,-0.14058219519296822,0.8905821951929682,0.625,0.23145502494313785,0.4646098506765456,0.7853901493234544,2.875,0.0,1.75,2.75,0.0,1.75,1.0,0.0,0.057335625
active,0,pc_greedy,baseline,9,9,0,0.9777777777777779,0.06666666666666665,0.9342222222222223,1.0213333333333334,0.7555555555555555,0.3231786571610886,0.544412166210311,0.9666989449008001,0.7777777777777778,0.9718253158075502,0.14285190478351173,1.4127036507720439,0.6111111111111112,0.2204792759220492,0.467064650842039,0.7551575713801832,2.888888888888889,0.0,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0
active,1,llm_raw,gpt-5.5,8,8,0,0.8805361305361306,0.1207292695811521,0.7968750150317698,0.9641972460404913,0.8243492618492618,0.22120677753712514,0.6710607856571551,0.9776377380413686,1.75,2.052872551885702,0.3274318996968901,3.17256810030311,0.41666666666666663,0.08908708063747481,0.3549324694084928,0.47840086392484044,5.375,0.25,3.5,4.5,0.0,3.5,1.0,0.0,0.5302162500000001
active,1,llm_stats,gpt-5.5,8,8,0,0.8480477855477855,0.13937915058252814,0.7514629618655174,0.9446326092300535,0.7833624708624709,0.26799028725925417,0.5976546764375844,0.9690702652873574,2.125,2.295181287579947,0.5345205125497532,3.7154794874502466,0.47916666666666663,0.05892556509887897,0.4383333333333333,0.52,5.5,0.0,3.125,8.875,4.75,3.125,1.0,0.0,0.678591625
active,1,llm_stats_cpdag_greedy,gpt-5.5,8,8,0,0.6093073593073592,0.22309827666969878,0.45470814108926627,0.7639065775254522,0.5281385281385281,0.29488114919353076,0.3237963171044771,0.7324807391725792,4.0,1.6035674514745464,2.888784449352872,5.1112155506471275,0.7083333333333333,0.26352313834736496,0.5257211151708504,0.8909455514958161,4.125,0.0,2.0,6.25,3.25,2.0,1.0,0.0,0.12347250000000001
active,1,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
