panel,level,method,model,n_total,n_success,n_failed,skeleton_f1_mean,skeleton_f1_std,skeleton_f1_ci95_low,skeleton_f1_ci95_high,directed_f1_mean,directed_f1_std,directed_f1_ci95_low,directed_f1_ci95_high,dag_shd_mean,dag_shd_std,dag_shd_ci95_low,dag_shd_ci95_high,efficiency_mean,efficiency_std,efficiency_ci95_low,efficiency_ci95_high,submit_directed_mean,submit_undirected_mean,interventions_used_mean,total_actions_mean,stats_actions_mean,intervene_actions_mean,submit_actions_mean,sanitized_overlap_count_mean,cost_usd_mean
active,0,llm_raw,claude-haiku-4-5-20251001,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
active,0,llm_stats,claude-haiku-4-5-20251001,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
active,0,llm_stats_cpdag_greedy,claude-haiku-4-5-20251001,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
active,0,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,0,pc_cpdag_llm,claude-haiku-4-5-20251001,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
active,0,pc_greedy,baseline,8,8,0,0.975,0.07071067811865474,0.9259999999999999,1.024,0.8083333333333333,0.3011881234615431,0.5996206121110753,1.0170460545555913,0.625,0.9161253813129043,-0.009842500152596911,1.259842500152597,0.625,0.23145502494313785,0.4646098506765456,0.7853901493234544,2.875,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0
active,1,llm_raw,claude-haiku-4-5-20251001,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
active,1,llm_stats,claude-haiku-4-5-20251001,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
active,1,llm_stats_cpdag_greedy,claude-haiku-4-5-20251001,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
active,1,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,1,pc_cpdag_llm,claude-haiku-4-5-20251001,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
active,1,pc_greedy,baseline,8,8,0,0.8477272727272727,0.11860563367742534,0.7655377618242424,0.929916783630303,0.8022727272727272,0.1215552502633595,0.7180392363576789,0.8865062181877756,1.875,1.1259916264596033,1.0947276116637217,2.6552723883362783,0.7708333333333333,0.26633163477615585,0.586274926438509,0.9553917402281575,4.875,0.0,2.125,0.0,0.0,0.0,0.0,0.0,0.0
active,2,llm_raw,claude-haiku-4-5-20251001,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
active,2,llm_stats,claude-haiku-4-5-20251001,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
active,2,llm_stats_cpdag_greedy,claude-haiku-4-5-20251001,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
active,2,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,2,pc_cpdag_llm,claude-haiku-4-5-20251001,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
active,2,pc_greedy,baseline,8,8,0,0.7403186274509804,0.10442342029393886,0.6679568890185341,0.8126803658834267,0.6126925770308123,0.13921634926448592,0.5162205689061985,0.709164585155426,4.875,1.5526475085202969,3.799070169574242,5.950929830425758,0.7708333333333333,0.26633163477615585,0.586274926438509,0.9553917402281575,6.125,0.0,2.125,0.0,0.0,0.0,0.0,0.0,0.0
