run_id,timestamp_utc,panel,method,model,level,seed,runtime_seed,d,k,n_obs,n_int,noise_var,budget_slack,status,error,latency_sec,prompt_tokens,completion_tokens,total_tokens,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,total_actions,stats_actions,intervene_actions,submit_actions,sanitized_overlap_count,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260422T105637Z,2026-04-22T10:56:38.202839+00:00,observational,pc,baseline,0,1276453582,12764535820007,4,5,50,25,0.5,2,success,,8.828608,0,0,0,5,0,5,1,3,0,0,0,0,0,0,4,0,1.0,0.8,0.888888888888889,1.0,1.0,1.0,0.75,0.6,0.6666666666666665,2,1.0
20260422T105637Z,2026-04-22T10:56:47.070816+00:00,observational,llm_raw_obs,gpt-5.4,0,1276453582,12764535820007,4,5,50,25,0.5,2,success,,4.950087,2356,176,2532,5,0,5,1,3,0,1,0,0,1,0,4,0,0.75,0.6,0.6666666666666665,1.0,1.0,1.0,0.5,0.4,0.4444444444444445,4,1.0
20260422T105637Z,2026-04-22T10:56:52.044213+00:00,observational,llm_stats_obs,gpt-5.4,0,1276453582,12764535820007,4,5,50,25,0.5,2,success,,14.176376,13101,669,13770,5,0,5,1,3,0,5,4,0,1,0,2,3,0.8,0.8,0.8000000000000002,1.0,1.0,1.0,0.5,0.2,0.28571428571428575,5,1.0
20260422T105637Z,2026-04-22T10:57:06.245243+00:00,active,pc_greedy,baseline,0,1276453582,12764535820007,4,5,50,25,0.5,2,success,,0.007552,0,0,0,5,0,5,1,3,0,0,0,0,0,0,4,0,1.0,0.8,0.888888888888889,1.0,1.0,1.0,0.75,0.6,0.6666666666666665,2,1.0
20260422T105637Z,2026-04-22T10:57:06.270831+00:00,active,llm_raw,gpt-5.4,0,1276453582,12764535820007,4,5,50,25,0.5,2,success,,10.932083,9466,575,10041,5,0,5,1,3,2,3,0,2,1,0,4,0,0.75,0.6,0.6666666666666665,1.0,1.0,1.0,0.5,0.4,0.4444444444444445,4,0.5
20260422T105637Z,2026-04-22T10:57:17.242467+00:00,active,llm_stats,gpt-5.4,0,1276453582,12764535820007,4,5,50,25,0.5,2,success,,20.213054,19350,922,20272,5,0,5,1,3,1,7,5,1,1,0,1,2,1.0,0.6,0.7499999999999999,1.0,1.0,1.0,1.0,0.2,0.33333333333333337,4,1.0
20260422T105637Z,2026-04-22T10:57:37.484666+00:00,active,oracle,baseline,0,1276453582,12764535820007,4,5,50,25,0.5,2,success,,0.000635,0,0,0,5,0,5,1,3,0,0,0,0,0,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260422T105637Z,2026-04-22T10:57:37.533983+00:00,observational,pc,baseline,0,27998312,279983120007,4,5,50,25,0.5,2,success,,0.011795,0,0,0,5,0,5,1,3,0,0,0,0,0,0,0,3,1.0,0.6,0.7499999999999999,1.0,1.0,1.0,1.0,0.0,0.0,5,1.0
20260422T105637Z,2026-04-22T10:57:37.581848+00:00,observational,llm_raw_obs,gpt-5.4,0,27998312,279983120007,4,5,50,25,0.5,2,success,,4.070183,2313,197,2510,5,0,5,1,3,0,1,0,0,1,0,5,0,0.8,0.8,0.8000000000000002,1.0,1.0,1.0,0.4,0.4,0.4000000000000001,4,1.0
20260422T105637Z,2026-04-22T10:57:41.676554+00:00,observational,llm_stats_obs,gpt-5.4,0,27998312,279983120007,4,5,50,25,0.5,2,success,,14.411245,12891,710,13601,5,0,5,1,3,0,5,4,0,1,0,2,4,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
