panel,level,method,model,n_total,n_success,n_failed,skeleton_f1_mean,skeleton_f1_std,skeleton_f1_ci95_low,skeleton_f1_ci95_high,directed_f1_mean,directed_f1_std,directed_f1_ci95_low,directed_f1_ci95_high,dag_shd_mean,dag_shd_std,dag_shd_ci95_low,dag_shd_ci95_high,efficiency_mean,efficiency_std,efficiency_ci95_low,efficiency_ci95_high,submit_directed_mean,submit_undirected_mean,interventions_used_mean,total_actions_mean,stats_actions_mean,intervene_actions_mean,submit_actions_mean,sanitized_overlap_count_mean,cost_usd_mean
active,0,llm_raw,openrouter/anthropic/claude-sonnet-4-6,8,8,0,0.7142857142857142,0.19879781219323073,0.5765258588205687,0.8520455697508597,0.5535714285714286,0.19869594295149529,0.41588216488927604,0.6912606922535811,2.25,1.0350983390135313,1.5327134463828282,2.9672865536171718,0.875,0.23145502494313785,0.7146098506765456,1.0353901493234543,3.25,0.0,1.25,2.25,0.0,1.25,1.0,0.0,0.04636275
active,0,llm_stats,openrouter/anthropic/claude-sonnet-4-6,8,7,1,0.6938775510204082,0.20547521171232772,0.5416593840022419,0.8460957180385744,0.4149659863945578,0.23922633822953168,0.23774463495120768,0.5921873378379079,2.7142857142857144,1.1126972805283737,1.8899880334284487,3.53858339514298,1.0,0.0,1.0,1.0,3.142857142857143,0.0,0.0,2.857142857142857,1.8571428571428572,0.0,1.0,0.0,0.04393285714285715
active,0,llm_stats_cpdag_greedy,openrouter/anthropic/claude-sonnet-4-6,8,5,3,0.9714285714285715,0.063887656499994,0.9154285714285715,1.0274285714285716,0.7809523809523811,0.3115319473104024,0.5078825893035956,1.0540221726011665,0.8,1.0954451150103324,-0.16019997917100592,1.7601999791710061,0.6,0.22360679774997896,0.404,0.7959999999999999,3.2,0.0,1.8,19.0,16.2,1.8,1.0,0.0,0.31134300000000004
active,0,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,0,pc_cpdag_llm,openrouter/anthropic/claude-sonnet-4-6,8,8,0,0.975,0.07071067811865474,0.9259999999999999,1.024,0.8083333333333333,0.24283379906482122,0.6400580958337073,0.9766085708329594,0.625,0.7440238091428449,0.10941780480703178,1.1405821951929682,1.0,0.0,1.0,1.0,2.875,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0224835
active,0,pc_greedy,baseline,8,8,0,0.975,0.07071067811865474,0.9259999999999999,1.024,0.8083333333333333,0.3011881234615431,0.5996206121110753,1.0170460545555913,0.625,0.9161253813129043,-0.009842500152596911,1.259842500152597,0.625,0.23145502494313785,0.4646098506765456,0.7853901493234544,2.875,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0
active,1,llm_raw,openrouter/anthropic/claude-sonnet-4-6,8,8,0,0.5136363636363636,0.1800636848582989,0.3888585960797978,0.6384141311929293,0.4257575757575757,0.26686336704501445,0.24083069719952746,0.610684454315624,6.0,2.449489742783178,4.302590208582501,7.697409791417499,0.9375,0.1767766952966369,0.8150000000000001,1.06,5.125,0.125,1.625,2.625,0.0,1.625,1.0,0.0,0.092947875
active,1,llm_stats,openrouter/anthropic/claude-sonnet-4-6,8,8,0,0.4982517482517482,0.1890340014431273,0.3672578684423906,0.6292456280611058,0.16420454545454544,0.17025637831386095,0.046222894601471984,0.2821861963076189,9.125,2.6423744732991303,7.293927909666034,10.956072090333965,1.0,0.0,1.0,1.0,4.25,3.25,0.0,2.625,1.625,0.0,1.0,0.0,0.04953375
active,1,llm_stats_cpdag_greedy,openrouter/anthropic/claude-sonnet-4-6,8,5,3,0.7436829836829837,0.11531767972088762,0.6426025807045098,0.8447633866614576,0.4183016983016983,0.29954416845530474,0.15573965811325213,0.6808637384901444,5.2,2.7748873851023217,2.767703965385792,7.632296034614209,0.6666666666666666,0.33333333333333337,0.37448711760669406,0.9588462157266392,5.6,0.4,2.2,30.2,27.0,2.2,1.0,0.0,0.6175985999999999
active,1,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
