run_id,timestamp_utc,panel,method,model,level,seed,runtime_seed,d,k,n_obs,n_int,noise_var,budget_slack,status,error,latency_sec,prompt_tokens,completion_tokens,total_tokens,cache_creation_input_tokens,cache_read_input_tokens,cost_usd,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,total_actions,stats_actions,intervene_actions,submit_actions,sanitized_overlap_count,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260503T150356Z,2026-05-03T15:03:57.291111+00:00,observational,pc,baseline,3,1276453582,12764535820310,10,12,50,25,1.0,2,success,,30.7825,0,0,0,0,0,0.0,12,10,2,2,4,0,0,0,0,0,0,2,5,0.8571428571428571,0.5,0.631578947368421,1.0,0.1,0.18181818181818182,0.5,0.08333333333333333,0.14285714285714285,12,1.0
20260503T150356Z,2026-05-03T15:04:28.086168+00:00,observational,llm_raw_obs,openrouter/deepseek/deepseek-v3.2,3,1276453582,12764535820310,10,12,50,25,1.0,2,success,,33.578109,5155,66,5221,0,0,0.001362865,12,10,2,2,4,0,1,0,0,1,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12,1.0
20260503T150356Z,2026-05-03T15:05:01.696961+00:00,observational,llm_stats_obs,openrouter/deepseek/deepseek-v3.2,3,1276453582,12764535820310,10,12,50,25,1.0,2,success,,303.19325,271023,11189,282212,0,0,0.09266859999999999,12,10,2,2,4,0,39,38,0,1,0,1,1,1.0,0.16666666666666666,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,0.0,12,1.0
20260503T150356Z,2026-05-03T15:10:04.916779+00:00,active,pc_greedy,baseline,3,1276453582,12764535820310,10,12,50,25,1.0,2,success,,0.077333,0,0,0,0,0,0.0,12,10,2,2,4,4,0,0,0,0,0,7,0,0.8571428571428571,0.5,0.631578947368421,1.0,0.4,0.5714285714285715,0.8571428571428571,0.5,0.631578947368421,7,0.5
20260503T150356Z,2026-05-03T15:10:05.027467+00:00,active,llm_raw,openrouter/deepseek/deepseek-v3.2,3,1276453582,12764535820310,10,12,50,25,1.0,2,success,,23.861717,22150,381,22531,0,0,0.00589687,12,10,2,2,4,2,3,0,2,1,0,3,0,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.5,0.1,0.16666666666666669,0.3333333333333333,0.08333333333333333,0.13333333333333333,12,1.0
20260503T150356Z,2026-05-03T15:10:28.937895+00:00,active,llm_stats,openrouter/deepseek/deepseek-v3.2,3,1276453582,12764535820310,10,12,50,25,1.0,2,success,,259.655874,267668,3906,271574,0,0,0.046999812,12,10,2,2,4,0,40,39,0,1,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12,1.0
20260503T150356Z,2026-05-03T15:14:48.623205+00:00,active,pc_cpdag_llm,openrouter/deepseek/deepseek-v3.2,3,1276453582,12764535820310,10,12,50,25,1.0,2,success,,24.432589,9664,450,10114,0,0,0.002691976,12,10,2,2,4,2,3,0,2,1,0,4,3,0.8571428571428571,0.5,0.631578947368421,0.6666666666666666,0.2,0.30769230769230765,0.5,0.16666666666666666,0.25,11,1.0
20260503T150356Z,2026-05-03T15:15:13.085588+00:00,active,llm_stats_cpdag_greedy,openrouter/deepseek/deepseek-v3.2,3,1276453582,12764535820310,10,12,50,25,1.0,2,success,,275.124118,263854,3799,267653,0,0,0.043871942,12,10,2,2,4,4,44,39,4,1,0,12,1,0.6153846153846154,0.6666666666666666,0.64,1.0,0.6,0.7499999999999999,0.5833333333333334,0.5833333333333334,0.5833333333333334,10,0.5
20260503T150356Z,2026-05-03T15:19:48.254523+00:00,active,oracle,baseline,3,1276453582,12764535820310,10,12,50,25,1.0,2,success,,0.001665,0,0,0,0,0,0.0,12,10,2,2,4,0,0,0,0,0,0,12,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260503T155731Z,2026-05-03T15:57:31.506596+00:00,observational,pc,baseline,3,1276453582,12764535820310,10,12,50,25,1.0,2,success,,21.394765,0,0,0,0,0,0.0,12,10,2,2,4,0,0,0,0,0,0,2,5,0.8571428571428571,0.5,0.631578947368421,1.0,0.1,0.18181818181818182,0.5,0.08333333333333333,0.14285714285714285,12,1.0
