run_id,timestamp_utc,panel,method,model,level,seed,runtime_seed,d,k,n_obs,n_int,noise_var,budget_slack,status,error,latency_sec,prompt_tokens,completion_tokens,total_tokens,cache_creation_input_tokens,cache_read_input_tokens,cost_usd,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,total_actions,stats_actions,intervene_actions,submit_actions,sanitized_overlap_count,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260503T163354Z,2026-05-03T16:33:54.827427+00:00,observational,pc,baseline,3,1276453582,12764535820310,10,12,50,25,1.0,2,success,,23.284906,0,0,0,0,0,0.0,12,10,2,2,4,0,0,0,0,0,0,2,5,0.8571428571428571,0.5,0.631578947368421,1.0,0.1,0.18181818181818182,0.5,0.08333333333333333,0.14285714285714285,12,1.0
20260503T163354Z,2026-05-03T16:34:18.141922+00:00,active,pc_greedy,baseline,3,1276453582,12764535820310,10,12,50,25,1.0,2,success,,0.082725,0,0,0,0,0,0.0,12,10,2,2,4,4,0,0,0,0,0,7,0,0.8571428571428571,0.5,0.631578947368421,1.0,0.4,0.5714285714285715,0.8571428571428571,0.5,0.631578947368421,7,0.5
20260503T163354Z,2026-05-03T16:34:18.262244+00:00,active,llm_raw,openrouter/deepseek/deepseek-v4-flash,3,1276453582,12764535820310,10,12,50,25,1.0,2,success,,128.531709,22003,954,22957,0,0,0.0033475399999999995,12,10,2,2,4,2,3,0,2,1,0,9,0,0.2222222222222222,0.16666666666666666,0.1904761904761905,0.5,0.1,0.16666666666666669,0.1111111111111111,0.08333333333333333,0.09523809523809525,18,1.0
20260503T163354Z,2026-05-03T16:36:26.808401+00:00,active,llm_stats,openrouter/deepseek/deepseek-v4-flash,3,1276453582,12764535820310,10,12,50,25,1.0,2,failed,Exception: tenacity import failed please run `pip install tenacity`. ErrorNo module named 'tenacity',344.49535,,,,,,,12,10,2,2,4,,,,,,,,,,,,,,,,,,,
20260503T163354Z,2026-05-03T16:42:11.351949+00:00,active,pc_cpdag_llm,openrouter/deepseek/deepseek-v4-flash,3,1276453582,12764535820310,10,12,50,25,1.0,2,failed,Exception: tenacity import failed please run `pip install tenacity`. ErrorNo module named 'tenacity',2.640706,,,,,,,12,10,2,2,4,,,,,,,,,,,,,,,,,,,
20260503T163354Z,2026-05-03T16:42:14.001999+00:00,active,llm_stats_cpdag_greedy,openrouter/deepseek/deepseek-v4-flash,3,1276453582,12764535820310,10,12,50,25,1.0,2,failed,Exception: tenacity import failed please run `pip install tenacity`. ErrorNo module named 'tenacity',3.120317,,,,,,,12,10,2,2,4,,,,,,,,,,,,,,,,,,,
20260503T163354Z,2026-05-03T16:42:17.152265+00:00,active,oracle,baseline,3,1276453582,12764535820310,10,12,50,25,1.0,2,success,,0.000766,0,0,0,0,0,0.0,12,10,2,2,4,0,0,0,0,0,0,12,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260503T164500Z,2026-05-03T16:45:01.189406+00:00,observational,pc,baseline,3,1276453582,12764535820310,10,12,50,25,1.0,2,success,,33.46035,0,0,0,0,0,0.0,12,10,2,2,4,0,0,0,0,0,0,2,5,0.8571428571428571,0.5,0.631578947368421,1.0,0.1,0.18181818181818182,0.5,0.08333333333333333,0.14285714285714285,12,1.0
20260503T164500Z,2026-05-03T16:45:34.668109+00:00,active,pc_greedy,baseline,3,1276453582,12764535820310,10,12,50,25,1.0,2,success,,0.051729,0,0,0,0,0,0.0,12,10,2,2,4,4,0,0,0,0,0,7,0,0.8571428571428571,0.5,0.631578947368421,1.0,0.4,0.5714285714285715,0.8571428571428571,0.5,0.631578947368421,7,0.5
20260503T164500Z,2026-05-03T16:45:34.744908+00:00,active,llm_raw,openrouter/deepseek/deepseek-v4-flash,3,1276453582,12764535820310,10,12,50,25,1.0,2,success,,154.387519,22207,999,23206,0,0,0.00370474,12,10,2,2,4,2,3,0,2,1,0,8,0,0.5,0.3333333333333333,0.4,0.25,0.1,0.14285714285714288,0.125,0.08333333333333333,0.1,15,1.0
20260503T164500Z,2026-05-03T16:48:09.146487+00:00,active,llm_stats,openrouter/deepseek/deepseek-v4-flash,3,1276453582,12764535820310,10,12,50,25,1.0,2,,,132.806377,,,,,,,12,10,2,2,4,,,,,,,,,,,,,,,,,,,
