level,seed,panel,method,d,k,skeleton_precision,skeleton_recall,skeleton_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,submit_directed,submit_undirected,interventions_used
0,1276453582,observational,pc,4,5,1.0,0.8,0.888888888888889,0.75,0.6,0.6666666666666665,2,1.0,4,0,0
0,1276453582,active,pc_greedy,4,5,1.0,0.8,0.888888888888889,0.75,0.6,0.6666666666666665,2,1.0,4,0,0
0,27998312,observational,pc,4,5,1.0,0.6,0.7499999999999999,1.0,0.0,0.0,5,1.0,0,3,0
0,27998312,active,pc_greedy,4,5,1.0,0.6,0.7499999999999999,1.0,0.6,0.7499999999999999,2,0.5,3,0,2
0,931551983,observational,pc,4,5,1.0,0.8,0.888888888888889,0.5,0.4,0.4444444444444445,3,1.0,4,0,0
0,931551983,active,pc_greedy,4,5,1.0,0.8,0.888888888888889,0.5,0.4,0.4444444444444445,3,1.0,4,0,0
0,974369856,observational,pc,4,5,1.0,0.8,0.888888888888889,1.0,0.0,0.0,5,1.0,0,4,0
0,974369856,active,pc_greedy,4,5,1.0,0.8,0.888888888888889,1.0,0.8,0.888888888888889,1,0.5,4,0,2
0,1539978433,observational,pc,4,5,1.0,0.8,0.888888888888889,1.0,0.0,0.0,5,1.0,0,4,0
0,1539978433,active,pc_greedy,4,5,1.0,0.8,0.888888888888889,1.0,0.8,0.888888888888889,1,0.5,4,0,2
0,868078822,observational,pc,4,5,1.0,0.6,0.7499999999999999,0.0,0.0,0.0,5,1.0,2,1,0
0,868078822,active,pc_greedy,4,5,1.0,0.6,0.7499999999999999,0.3333333333333333,0.2,0.25,4,1.0,3,0,1
0,452641024,observational,pc,4,5,1.0,0.6,0.7499999999999999,1.0,0.0,0.0,5,1.0,0,3,0
0,452641024,active,pc_greedy,4,5,1.0,0.6,0.7499999999999999,1.0,0.6,0.7499999999999999,2,0.5,3,0,2
0,963592850,observational,pc,4,5,1.0,0.4,0.5714285714285715,1.0,0.0,0.0,5,1.0,0,2,0
0,963592850,active,pc_greedy,4,5,1.0,0.4,0.5714285714285715,1.0,0.4,0.5714285714285715,3,1.0,2,0,1
1,1257633785,observational,pc,5,6,1.0,0.6666666666666666,0.8,0.5,0.3333333333333333,0.4,4,1.0,4,0,0
1,1257633785,active,pc_greedy,5,6,1.0,0.6666666666666666,0.8,0.5,0.3333333333333333,0.4,4,1.0,4,0,0
1,1100146725,observational,pc,5,6,0.75,0.5,0.6,0.5,0.16666666666666666,0.25,6,1.0,2,2,0
1,1100146725,active,pc_greedy,5,6,0.75,0.5,0.6,0.5,0.3333333333333333,0.4,5,1.0,4,0,1
1,1910407594,observational,pc,5,6,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,6,1.0,0,3,0
1,1910407594,active,pc_greedy,5,6,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,3,0.5,3,0,2
1,746528573,observational,pc,5,6,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,6,1.0,0,3,0
1,746528573,active,pc_greedy,5,6,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,3,1.0,3,0,2
1,1175759265,observational,pc,5,6,1.0,0.3333333333333333,0.5,0.0,0.0,0.0,6,1.0,2,0,0
1,1175759265,active,pc_greedy,5,6,1.0,0.3333333333333333,0.5,0.0,0.0,0.0,6,1.0,2,0,0
1,1982942393,observational,pc,5,6,1.0,0.6666666666666666,0.8,0.5,0.16666666666666666,0.25,5,1.0,2,2,0
1,1982942393,active,pc_greedy,5,6,1.0,0.6666666666666666,0.8,0.75,0.5,0.6,3,0.5,4,0,2
1,1449442515,observational,pc,5,6,1.0,0.6666666666666666,0.8,1.0,0.3333333333333333,0.5,4,1.0,2,2,0
1,1449442515,active,pc_greedy,5,6,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,0.8,2,1.0,4,0,1
1,1479720101,observational,pc,5,6,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5,4,1.0,2,1,0
1,1479720101,active,pc_greedy,5,6,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,3,1.0,3,0,1
2,823847298,observational,pc,5,6,1.0,0.16666666666666666,0.2857142857142857,1.0,0.0,0.0,6,1.0,0,1,0
2,823847298,active,pc_greedy,5,6,1.0,0.16666666666666666,0.2857142857142857,1.0,0.16666666666666666,0.2857142857142857,5,1.0,1,0,1
2,834246677,observational,pc,5,6,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,6,1.0,0,2,0
2,834246677,active,pc_greedy,5,6,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,4,1.0,2,0,1
2,32015887,observational,pc,5,6,1.0,0.16666666666666666,0.2857142857142857,1.0,0.0,0.0,6,1.0,0,1,0
2,32015887,active,pc_greedy,5,6,1.0,0.16666666666666666,0.2857142857142857,1.0,0.16666666666666666,0.2857142857142857,5,1.0,1,0,1
2,716908331,observational,pc,5,6,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,6,1.0,0,2,0
2,716908331,active,pc_greedy,5,6,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,4,0.5,2,0,2
2,1426457537,observational,pc,5,6,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,6,1.0,0,3,0
2,1426457537,active,pc_greedy,5,6,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,3,1.0,3,0,2
2,684342303,observational,pc,5,6,1.0,0.3333333333333333,0.5,0.5,0.16666666666666666,0.25,5,1.0,2,0,0
2,684342303,active,pc_greedy,5,6,1.0,0.3333333333333333,0.5,0.5,0.16666666666666666,0.25,5,1.0,2,0,0
2,1207468583,observational,pc,5,6,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,6,1.0,0,2,0
2,1207468583,active,pc_greedy,5,6,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,4,1.0,2,0,2
2,1612783012,observational,pc,5,6,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,6,1.0,0,2,0
2,1612783012,active,pc_greedy,5,6,1.0,0.3333333333333333,0.5,0.5,0.16666666666666666,0.25,5,1.0,2,0,1
3,1329552115,observational,pc,7,9,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,9,1.0,0,3,0
3,1329552115,active,pc_greedy,7,9,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,6,1.0,3,0,2
3,160719912,observational,pc,7,9,1.0,0.5555555555555556,0.7142857142857143,1.0,0.2222222222222222,0.3636363636363636,7,1.0,2,3,0
3,160719912,active,pc_greedy,7,9,1.0,0.5555555555555556,0.7142857142857143,1.0,0.5555555555555556,0.7142857142857143,4,1.0,5,0,2
3,362855691,observational,pc,7,9,1.0,0.4444444444444444,0.6153846153846153,1.0,0.0,0.0,9,1.0,0,4,0
3,362855691,active,pc_greedy,7,9,1.0,0.4444444444444444,0.6153846153846153,1.0,0.4444444444444444,0.6153846153846153,5,0.5,4,0,2
3,589330817,observational,pc,7,9,1.0,0.5555555555555556,0.7142857142857143,1.0,0.0,0.0,9,1.0,0,5,0
3,589330817,active,pc_greedy,7,9,1.0,0.5555555555555556,0.7142857142857143,1.0,0.4444444444444444,0.6153846153846153,5,0.5,4,1,2
3,1877150515,observational,pc,7,9,1.0,0.4444444444444444,0.6153846153846153,1.0,0.0,0.0,9,1.0,0,4,0
3,1877150515,active,pc_greedy,7,9,1.0,0.4444444444444444,0.6153846153846153,1.0,0.3333333333333333,0.5,6,0.5,3,1,2
3,370845052,observational,pc,7,9,1.0,0.5555555555555556,0.7142857142857143,0.6666666666666666,0.2222222222222222,0.3333333333333333,7,1.0,3,2,0
3,370845052,active,pc_greedy,7,9,1.0,0.5555555555555556,0.7142857142857143,0.8,0.4444444444444444,0.5714285714285714,5,1.0,5,0,2
3,976218778,observational,pc,7,9,1.0,0.4444444444444444,0.6153846153846153,0.5,0.1111111111111111,0.1818181818181818,8,1.0,2,2,0
3,976218778,active,pc_greedy,7,9,1.0,0.4444444444444444,0.6153846153846153,0.75,0.3333333333333333,0.46153846153846156,6,1.0,4,0,2
3,1286035187,observational,pc,7,9,1.0,0.5555555555555556,0.7142857142857143,1.0,0.3333333333333333,0.5,6,1.0,3,2,0
3,1286035187,active,pc_greedy,7,9,1.0,0.5555555555555556,0.7142857142857143,1.0,0.5555555555555556,0.7142857142857143,4,1.0,5,0,1
4,518645330,observational,pc,5,6,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5,4,1.0,2,1,0
4,518645330,active,pc_greedy,5,6,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,3,1.0,3,0,1
4,511033471,observational,pc,5,6,1.0,0.5,0.6666666666666666,0.5,0.16666666666666666,0.25,5,1.0,2,1,0
4,511033471,active,pc_greedy,5,6,1.0,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4444444444444444,4,1.0,3,0,1
4,1198956094,observational,pc,5,6,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,6,1.0,0,3,0
4,1198956094,active,pc_greedy,5,6,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,3,1.0,3,0,1
4,154587426,observational,pc,5,6,1.0,0.6666666666666666,0.8,0.75,0.5,0.6,3,1.0,4,0,0
4,154587426,active,pc_greedy,5,6,1.0,0.6666666666666666,0.8,0.75,0.5,0.6,3,1.0,4,0,0
4,1368642322,observational,pc,5,6,0.75,0.5,0.6,0.0,0.0,0.0,7,1.0,2,2,0
4,1368642322,active,pc_greedy,5,6,0.75,0.5,0.6,0.5,0.3333333333333333,0.4,5,1.0,4,0,1
4,1163629188,observational,pc,5,6,1.0,0.5,0.6666666666666666,0.5,0.16666666666666666,0.25,5,1.0,2,1,0
4,1163629188,active,pc_greedy,5,6,1.0,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4444444444444444,4,1.0,3,0,1
4,1332933138,observational,pc,5,6,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,6,1.0,0,2,0
4,1332933138,active,pc_greedy,5,6,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,4,1.0,2,0,1
4,1231061499,observational,pc,5,6,1.0,0.5,0.6666666666666666,1.0,0.0,0.0,6,1.0,0,3,0
4,1231061499,active,pc_greedy,5,6,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5,4,1.0,2,1,1
5,1526642568,observational,pc,7,9,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,9,1.0,0,3,0
5,1526642568,active,pc_greedy,7,9,1.0,0.3333333333333333,0.5,1.0,0.2222222222222222,0.3636363636363636,7,1.0,2,1,1
5,1170708238,observational,pc,7,9,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,9,1.0,0,3,0
5,1170708238,active,pc_greedy,7,9,1.0,0.3333333333333333,0.5,0.6666666666666666,0.2222222222222222,0.3333333333333333,7,1.0,3,0,2
5,385840006,observational,pc,7,9,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,9,1.0,0,3,0
5,385840006,active,pc_greedy,7,9,1.0,0.3333333333333333,0.5,0.5,0.1111111111111111,0.1818181818181818,8,1.0,2,1,2
5,32447648,observational,pc,7,9,1.0,0.4444444444444444,0.6153846153846153,0.5,0.2222222222222222,0.30769230769230765,7,1.0,4,0,0
5,32447648,active,pc_greedy,7,9,1.0,0.4444444444444444,0.6153846153846153,0.5,0.2222222222222222,0.30769230769230765,7,1.0,4,0,0
5,1017236502,observational,pc,7,9,0.8,0.4444444444444444,0.5714285714285714,1.0,0.0,0.0,10,1.0,0,5,0
5,1017236502,active,pc_greedy,7,9,0.8,0.4444444444444444,0.5714285714285714,0.3333333333333333,0.1111111111111111,0.16666666666666666,9,1.0,3,2,2
5,1717602974,observational,pc,7,9,1.0,0.1111111111111111,0.19999999999999998,1.0,0.0,0.0,9,1.0,0,1,0
5,1717602974,active,pc_greedy,7,9,1.0,0.1111111111111111,0.19999999999999998,0.0,0.0,0.0,9,1.0,1,0,1
5,480184089,observational,pc,7,9,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,9,1.0,0,3,0
5,480184089,active,pc_greedy,7,9,1.0,0.3333333333333333,0.5,0.6666666666666666,0.2222222222222222,0.3333333333333333,7,1.0,3,0,2
5,2015902496,observational,pc,7,9,1.0,0.2222222222222222,0.3636363636363636,1.0,0.0,0.0,9,1.0,0,2,0
