level,panel,method,n,skeleton_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,submit_directed,submit_undirected,interventions_used
0,active,pc_greedy,8,0.7971230158730158,0.8229166666666666,0.55,0.6512896825396826,2.25,0.75,3.375,0.0,1.25
0,observational,pc,8,0.7971230158730158,0.78125,0.125,0.13888888888888887,4.375,1.0,1.25,2.125,0.0
1,active,pc_greedy,8,0.6875,0.71875,0.41666666666666663,0.525,3.625,0.875,3.375,0.0,1.125
1,observational,pc,8,0.6875,0.6875,0.16666666666666666,0.2375,5.125,1.0,1.75,1.625,0.0
2,active,pc_greedy,8,0.46726190476190477,0.875,0.2708333333333333,0.40476190476190477,4.375,0.9375,1.875,0.0,1.25
2,observational,pc,8,0.46726190476190477,0.9375,0.020833333333333332,0.03125,5.875,1.0,0.25,1.625,0.0
3,active,pc_greedy,8,0.6504120879120879,0.94375,0.4305555555555555,0.5865384615384616,5.125,0.8125,4.125,0.25,1.875
3,observational,pc,8,0.6504120879120879,0.8958333333333334,0.1111111111111111,0.17234848484848483,8.0,1.0,1.25,3.125,0.0
4,active,pc_greedy,8,0.6541666666666667,0.8229166666666666,0.3958333333333333,0.5277777777777778,3.75,1.0,3.0,0.125,0.875
4,observational,pc,8,0.6541666666666667,0.71875,0.14583333333333331,0.2,5.25,1.0,1.5,1.625,0.0
5,active,pc_greedy,8,0.46880619380619376,0.5208333333333334,0.15277777777777776,0.233537296037296,7.75,1.0,2.5,0.5,1.375
5,observational,pc,8,0.46880619380619376,0.9375,0.027777777777777776,0.03846153846153846,8.875,1.0,0.5,2.5,0.0
overall,active,pc_greedy,48,0.6208783115033115,0.7840277777777778,0.36944444444444446,0.4881508537758537,4.479166666666667,0.8958333333333334,3.0416666666666665,0.14583333333333334,1.2916666666666667
overall,observational,pc,48,0.6208783115033115,0.8263888888888888,0.09953703703703703,0.136408152033152,6.25,1.0,1.0833333333333333,2.1041666666666665,0.0
