run_id,timestamp_utc,method,model,level,seed,sample_index,baseline_seed,d,k,max_edges,density,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,sampled_edges,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260423T095623Z,2026-04-23T09:56:23.352328+00:00,random_uniform,baseline,0,1276453582,0,12345,4,3,6,0.5,3,0,3,1,3,0,1,1,0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.0,0.0,0.0,3,1.0
20260423T095623Z,2026-04-23T09:56:23.352460+00:00,random_uniform,baseline,0,1276453582,1,12345,4,3,6,0.5,3,0,3,1,3,0,6,6,0,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,0.2222222222222222,5,1.0
20260423T095623Z,2026-04-23T09:56:23.352566+00:00,random_uniform,baseline,0,1276453582,2,12345,4,3,6,0.5,3,0,3,1,3,0,3,3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,1.0
20260423T095623Z,2026-04-23T09:56:23.352665+00:00,random_uniform,baseline,0,1276453582,3,12345,4,3,6,0.5,3,0,3,1,3,0,4,4,0,0.5,0.6666666666666666,0.5714285714285715,1.0,1.0,1.0,0.0,0.0,0.0,5,1.0
20260423T095623Z,2026-04-23T09:56:23.352736+00:00,random_uniform,baseline,0,1276453582,4,12345,4,3,6,0.5,3,0,3,1,3,0,0,0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0
20260423T095623Z,2026-04-23T09:56:23.353485+00:00,random_uniform,baseline,0,27998312,0,12345,4,3,6,0.5,3,0,3,1,3,0,1,1,0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,2,1.0
20260423T095623Z,2026-04-23T09:56:23.353592+00:00,random_uniform,baseline,0,27998312,1,12345,4,3,6,0.5,3,0,3,1,3,0,4,4,0,0.5,0.6666666666666666,0.5714285714285715,1.0,1.0,1.0,0.25,0.3333333333333333,0.28571428571428575,4,1.0
20260423T095623Z,2026-04-23T09:56:23.353687+00:00,random_uniform,baseline,0,27998312,2,12345,4,3,6,0.5,3,0,3,1,3,0,2,2,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5,1.0
20260423T095623Z,2026-04-23T09:56:23.353764+00:00,random_uniform,baseline,0,27998312,3,12345,4,3,6,0.5,3,0,3,1,3,0,0,0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0
20260423T095623Z,2026-04-23T09:56:23.353857+00:00,random_uniform,baseline,0,27998312,4,12345,4,3,6,0.5,3,0,3,1,3,0,2,2,0,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,0.5,0.3333333333333333,0.4,2,1.0
20260423T095623Z,2026-04-23T09:56:23.355126+00:00,random_uniform,baseline,1,931551983,0,12345,6,6,15,0.4,6,2,4,2,3,0,6,6,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,10,1.0
20260423T095623Z,2026-04-23T09:56:23.355249+00:00,random_uniform,baseline,1,931551983,1,12345,6,6,15,0.4,6,2,4,2,3,0,14,14,0,0.42857142857142855,1.0,0.6,1.0,1.0,1.0,0.35714285714285715,0.8333333333333334,0.5,9,1.0
20260423T095623Z,2026-04-23T09:56:23.355365+00:00,random_uniform,baseline,1,931551983,2,12345,6,6,15,0.4,6,2,4,2,3,0,14,14,0,0.42857142857142855,1.0,0.6,1.0,1.0,1.0,0.21428571428571427,0.5,0.3,11,1.0
20260423T095623Z,2026-04-23T09:56:23.355439+00:00,random_uniform,baseline,1,931551983,3,12345,6,6,15,0.4,6,2,4,2,3,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6,1.0
20260423T095623Z,2026-04-23T09:56:23.355550+00:00,random_uniform,baseline,1,931551983,4,12345,6,6,15,0.4,6,2,4,2,3,0,10,10,0,0.2,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,14,1.0
20260423T095623Z,2026-04-23T09:56:23.356905+00:00,random_uniform,baseline,1,974369856,0,12345,6,6,15,0.4,6,2,4,2,3,0,15,15,0,0.4,1.0,0.5714285714285715,0.5,0.5,0.5,0.26666666666666666,0.6666666666666666,0.3809523809523809,11,1.0
20260423T095623Z,2026-04-23T09:56:23.357005+00:00,random_uniform,baseline,1,974369856,1,12345,6,6,15,0.4,6,2,4,2,3,0,1,1,0,1.0,0.16666666666666666,0.2857142857142857,1.0,0.0,0.0,1.0,0.16666666666666666,0.2857142857142857,5,1.0
20260423T095623Z,2026-04-23T09:56:23.357122+00:00,random_uniform,baseline,1,974369856,2,12345,6,6,15,0.4,6,2,4,2,3,0,7,7,0,0.42857142857142855,0.5,0.4615384615384615,0.0,0.0,0.0,0.2857142857142857,0.3333333333333333,0.30769230769230765,8,1.0
20260423T095623Z,2026-04-23T09:56:23.357222+00:00,random_uniform,baseline,1,974369856,3,12345,6,6,15,0.4,6,2,4,2,3,0,4,4,0,0.5,0.3333333333333333,0.4,1.0,0.5,0.6666666666666666,0.25,0.16666666666666666,0.2,7,1.0
20260423T095623Z,2026-04-23T09:56:23.357293+00:00,random_uniform,baseline,1,974369856,4,12345,6,6,15,0.4,6,2,4,2,3,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6,1.0
20260423T095623Z,2026-04-23T09:56:23.358535+00:00,random_uniform,baseline,2,1539978433,0,12345,8,9,28,0.32142857142857145,9,6,3,1,2,0,11,11,0,0.18181818181818182,0.2222222222222222,0.19999999999999998,0.0,0.0,0.0,0.09090909090909091,0.1111111111111111,0.09999999999999999,17,1.0
20260423T095623Z,2026-04-23T09:56:23.358667+00:00,random_uniform,baseline,2,1539978433,1,12345,8,9,28,0.32142857142857145,9,6,3,1,2,0,18,18,0,0.2777777777777778,0.5555555555555556,0.3703703703703704,0.5,0.3333333333333333,0.4,0.16666666666666666,0.3333333333333333,0.2222222222222222,19,1.0
20260423T095623Z,2026-04-23T09:56:23.358800+00:00,random_uniform,baseline,2,1539978433,2,12345,8,9,28,0.32142857142857145,9,6,3,1,2,0,19,19,0,0.3157894736842105,0.6666666666666666,0.42857142857142855,0.4,0.3333333333333333,0.3636363636363636,0.10526315789473684,0.2222222222222222,0.14285714285714285,20,1.0
20260423T095623Z,2026-04-23T09:56:23.358898+00:00,random_uniform,baseline,2,1539978433,3,12345,8,9,28,0.32142857142857145,9,6,3,1,2,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10,1.0
20260423T095623Z,2026-04-23T09:56:23.359027+00:00,random_uniform,baseline,2,1539978433,4,12345,8,9,28,0.32142857142857145,9,6,3,1,2,0,20,20,0,0.4,0.8888888888888888,0.5517241379310346,0.4,0.3333333333333333,0.3636363636363636,0.2,0.4444444444444444,0.2758620689655173,17,1.0
20260423T095623Z,2026-04-23T09:56:23.360546+00:00,random_uniform,baseline,2,868078822,0,12345,8,9,28,0.32142857142857145,9,3,6,1,2,0,21,21,0,0.3333333333333333,0.7777777777777778,0.4666666666666666,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.2,20,1.0
20260423T095623Z,2026-04-23T09:56:23.360652+00:00,random_uniform,baseline,2,868078822,1,12345,8,9,28,0.32142857142857145,9,3,6,1,2,0,1,1,0,1.0,0.1111111111111111,0.19999999999999998,1.0,0.0,0.0,0.0,0.0,0.0,9,1.0
20260423T095623Z,2026-04-23T09:56:23.360763+00:00,random_uniform,baseline,2,868078822,2,12345,8,9,28,0.32142857142857145,9,3,6,1,2,0,9,9,0,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,0.3333333333333333,0.5,0.4444444444444444,0.4444444444444444,0.4444444444444444,9,1.0
20260423T095623Z,2026-04-23T09:56:23.360891+00:00,random_uniform,baseline,2,868078822,3,12345,8,9,28,0.32142857142857145,9,3,6,1,2,0,20,20,0,0.25,0.5555555555555556,0.3448275862068966,0.0,0.0,0.0,0.1,0.2222222222222222,0.13793103448275865,22,1.0
