run_id,timestamp_utc,method,model,level,seed,sample_index,baseline_seed,d,k,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,sampled_edges,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260423T093558Z,2026-04-23T09:35:58.233362+00:00,random_uniform,baseline,0,1276453582,0,12345,4,5,5,0,5,1,3,0,1,1,0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,1.0,0.2,0.33333333333333337,4,1.0
20260423T093558Z,2026-04-23T09:35:58.233362+00:00,random_uniform,baseline,0,1276453582,1,12345,4,5,5,0,5,1,3,0,6,6,0,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,0.3333333333333333,0.4,0.3636363636363636,4,1.0
20260423T093558Z,2026-04-23T09:35:58.233362+00:00,random_uniform,baseline,0,1276453582,2,12345,4,5,5,0,5,1,3,0,3,3,0,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,0.6666666666666666,0.4,0.5,4,1.0
20260423T093558Z,2026-04-23T09:35:58.236612+00:00,random_uniform,baseline,0,1276453582,3,12345,4,5,5,0,5,1,3,0,4,4,0,0.75,0.6,0.6666666666666665,1.0,1.0,1.0,0.25,0.2,0.22222222222222224,5,1.0
20260423T093558Z,2026-04-23T09:35:58.236612+00:00,random_uniform,baseline,0,1276453582,4,12345,4,5,5,0,5,1,3,0,0,0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5,1.0
20260423T093558Z,2026-04-23T09:35:58.236612+00:00,random_uniform,baseline,0,1276453582,5,12345,4,5,5,0,5,1,3,0,6,6,0,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
20260423T093558Z,2026-04-23T09:35:58.236612+00:00,random_uniform,baseline,0,1276453582,6,12345,4,5,5,0,5,1,3,0,5,5,0,0.8,0.8,0.8000000000000002,1.0,1.0,1.0,0.4,0.4,0.4000000000000001,4,1.0
20260423T093558Z,2026-04-23T09:35:58.236612+00:00,random_uniform,baseline,0,1276453582,7,12345,4,5,5,0,5,1,3,0,3,3,0,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,0.3333333333333333,0.2,0.25,5,1.0
20260423T093558Z,2026-04-23T09:35:58.236612+00:00,random_uniform,baseline,0,1276453582,8,12345,4,5,5,0,5,1,3,0,2,2,0,1.0,0.4,0.5714285714285715,1.0,1.0,1.0,0.5,0.2,0.28571428571428575,4,1.0
20260423T093558Z,2026-04-23T09:35:58.236612+00:00,random_uniform,baseline,0,1276453582,9,12345,4,5,5,0,5,1,3,0,5,5,0,0.8,0.8,0.8000000000000002,1.0,1.0,1.0,0.4,0.4,0.4000000000000001,4,1.0
20260423T093558Z,2026-04-23T09:35:58.236612+00:00,random_uniform,baseline,0,1276453582,10,12345,4,5,5,0,5,1,3,0,5,5,0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8000000000000002,1,1.0
20260423T093558Z,2026-04-23T09:35:58.236612+00:00,random_uniform,baseline,0,1276453582,11,12345,4,5,5,0,5,1,3,0,2,2,0,0.5,0.2,0.28571428571428575,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
20260423T093558Z,2026-04-23T09:35:58.236612+00:00,random_uniform,baseline,0,1276453582,12,12345,4,5,5,0,5,1,3,0,5,5,0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.6,2,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,13,12345,4,5,5,0,5,1,3,0,4,4,0,1.0,0.8,0.888888888888889,1.0,1.0,1.0,0.25,0.2,0.22222222222222224,4,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,14,12345,4,5,5,0,5,1,3,0,3,3,0,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,0.6666666666666666,0.4,0.5,4,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,15,12345,4,5,5,0,5,1,3,0,3,3,0,1.0,0.6,0.7499999999999999,1.0,1.0,1.0,0.0,0.0,0.0,5,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,16,12345,4,5,5,0,5,1,3,0,1,1,0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,1.0,0.2,0.33333333333333337,4,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,17,12345,4,5,5,0,5,1,3,0,1,1,0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,0.0,0.0,0.0,5,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,18,12345,4,5,5,0,5,1,3,0,3,3,0,1.0,0.6,0.7499999999999999,1.0,1.0,1.0,0.6666666666666666,0.4,0.5,3,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,19,12345,4,5,5,0,5,1,3,0,1,1,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,20,12345,4,5,5,0,5,1,3,0,1,1,0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,1.0,0.2,0.33333333333333337,4,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,21,12345,4,5,5,0,5,1,3,0,3,3,0,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,22,12345,4,5,5,0,5,1,3,0,3,3,0,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,0.3333333333333333,0.2,0.25,5,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,23,12345,4,5,5,0,5,1,3,0,0,0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,24,12345,4,5,5,0,5,1,3,0,6,6,0,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,0.3333333333333333,0.4,0.3636363636363636,4,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,25,12345,4,5,5,0,5,1,3,0,2,2,0,1.0,0.4,0.5714285714285715,1.0,1.0,1.0,0.5,0.2,0.28571428571428575,4,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,26,12345,4,5,5,0,5,1,3,0,2,2,0,0.5,0.2,0.28571428571428575,1.0,1.0,1.0,0.5,0.2,0.28571428571428575,5,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,27,12345,4,5,5,0,5,1,3,0,4,4,0,0.75,0.6,0.6666666666666665,1.0,1.0,1.0,0.5,0.4,0.4444444444444445,4,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,28,12345,4,5,5,0,5,1,3,0,3,3,0,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,0.3333333333333333,0.2,0.25,5,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,29,12345,4,5,5,0,5,1,3,0,6,6,0,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,0.5,0.6,0.5454545454545454,3,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,30,12345,4,5,5,0,5,1,3,0,1,1,0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,0.0,0.0,0.0,5,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,31,12345,4,5,5,0,5,1,3,0,0,0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,32,12345,4,5,5,0,5,1,3,0,1,1,0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,1.0,0.2,0.33333333333333337,4,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,33,12345,4,5,5,0,5,1,3,0,3,3,0,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,0.6666666666666666,0.4,0.5,4,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,34,12345,4,5,5,0,5,1,3,0,2,2,0,0.5,0.2,0.28571428571428575,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,35,12345,4,5,5,0,5,1,3,0,6,6,0,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,0.5,0.6,0.5454545454545454,3,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,36,12345,4,5,5,0,5,1,3,0,1,1,0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,1.0,0.2,0.33333333333333337,4,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,37,12345,4,5,5,0,5,1,3,0,6,6,0,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,0.6666666666666666,0.8,0.7272727272727272,2,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,38,12345,4,5,5,0,5,1,3,0,2,2,0,0.5,0.2,0.28571428571428575,1.0,1.0,1.0,0.5,0.2,0.28571428571428575,5,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,39,12345,4,5,5,0,5,1,3,0,0,0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,40,12345,4,5,5,0,5,1,3,0,6,6,0,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,41,12345,4,5,5,0,5,1,3,0,4,4,0,0.75,0.6,0.6666666666666665,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,42,12345,4,5,5,0,5,1,3,0,5,5,0,0.8,0.8,0.8000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,43,12345,4,5,5,0,5,1,3,0,2,2,0,0.5,0.2,0.28571428571428575,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,44,12345,4,5,5,0,5,1,3,0,6,6,0,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,45,12345,4,5,5,0,5,1,3,0,0,0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,46,12345,4,5,5,0,5,1,3,0,4,4,0,0.75,0.6,0.6666666666666665,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,47,12345,4,5,5,0,5,1,3,0,4,4,0,0.75,0.6,0.6666666666666665,1.0,1.0,1.0,0.5,0.4,0.4444444444444445,4,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,48,12345,4,5,5,0,5,1,3,0,4,4,0,0.75,0.6,0.6666666666666665,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,49,12345,4,5,5,0,5,1,3,0,5,5,0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.20000000000000004,4,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,50,12345,4,5,5,0,5,1,3,0,6,6,0,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,0.6666666666666666,0.8,0.7272727272727272,2,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,51,12345,4,5,5,0,5,1,3,0,1,1,0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,0.0,0.0,0.0,5,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,52,12345,4,5,5,0,5,1,3,0,2,2,0,1.0,0.4,0.5714285714285715,1.0,1.0,1.0,0.5,0.2,0.28571428571428575,4,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,53,12345,4,5,5,0,5,1,3,0,4,4,0,0.75,0.6,0.6666666666666665,1.0,1.0,1.0,0.5,0.4,0.4444444444444445,4,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,54,12345,4,5,5,0,5,1,3,0,3,3,0,1.0,0.6,0.7499999999999999,1.0,1.0,1.0,0.0,0.0,0.0,5,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,55,12345,4,5,5,0,5,1,3,0,0,0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,56,12345,4,5,5,0,5,1,3,0,6,6,0,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,0.3333333333333333,0.4,0.3636363636363636,4,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,57,12345,4,5,5,0,5,1,3,0,6,6,0,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,0.6666666666666666,0.8,0.7272727272727272,2,1.0
20260423T093558Z,2026-04-23T09:35:58.237628+00:00,random_uniform,baseline,0,1276453582,58,12345,4,5,5,0,5,1,3,0,2,2,0,1.0,0.4,0.5714285714285715,1.0,1.0,1.0,0.0,0.0,0.0,5,1.0
20260423T093558Z,2026-04-23T09:35:58.241910+00:00,random_uniform,baseline,0,1276453582,59,12345,4,5,5,0,5,1,3,0,3,3,0,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,0.3333333333333333,0.2,0.25,5,1.0
20260423T093558Z,2026-04-23T09:35:58.241910+00:00,random_uniform,baseline,0,1276453582,60,12345,4,5,5,0,5,1,3,0,4,4,0,0.75,0.6,0.6666666666666665,1.0,1.0,1.0,0.25,0.2,0.22222222222222224,5,1.0
20260423T093558Z,2026-04-23T09:35:58.241910+00:00,random_uniform,baseline,0,1276453582,61,12345,4,5,5,0,5,1,3,0,0,0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5,1.0
