run_id,timestamp_utc,panel,method,model,level,seed,runtime_seed,d,k,n_obs,n_int,noise_var,budget_slack,status,error,latency_sec,prompt_tokens,completion_tokens,total_tokens,cache_creation_input_tokens,cache_read_input_tokens,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,total_actions,stats_actions,intervene_actions,submit_actions,sanitized_overlap_count,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260423T062524Z,2026-04-23T06:25:25.692172+00:00,observational,pc,baseline,0,1276453582,12764535820007,4,5,50,25,0.5,2,success,,3.079748,0,0,0,0,0,5,0,5,1,3,0,0,0,0,0,0,4,0,1.0,0.8,0.888888888888889,1.0,1.0,1.0,0.75,0.6,0.6666666666666665,2,1.0
20260423T062524Z,2026-04-23T06:25:28.778951+00:00,observational,llm_raw_obs,claude-sonnet-4-6,0,1276453582,12764535820007,4,5,50,25,0.5,2,success,,9.008591,3068,562,3630,3044,0,5,0,5,1,3,0,1,0,0,1,0,4,0,0.75,0.6,0.6666666666666665,1.0,1.0,1.0,0.5,0.4,0.4444444444444445,4,1.0
20260423T062524Z,2026-04-23T06:25:37.803134+00:00,observational,llm_stats_obs,claude-sonnet-4-6,0,1276453582,12764535820007,4,5,50,25,0.5,2,success,,25.680164,10057,1239,11296,3289,0,5,0,5,1,3,0,3,2,0,1,0,3,0,1.0,0.6,0.7499999999999999,1.0,1.0,1.0,1.0,0.6,0.7499999999999999,2,1.0
20260423T062524Z,2026-04-23T06:26:03.487163+00:00,active,pc_greedy,baseline,0,1276453582,12764535820007,4,5,50,25,0.5,2,success,,0.006157,0,0,0,0,0,5,0,5,1,3,0,0,0,0,0,0,4,0,1.0,0.8,0.888888888888889,1.0,1.0,1.0,0.75,0.6,0.6666666666666665,2,1.0
20260423T062524Z,2026-04-23T06:26:03.507379+00:00,active,llm_raw,claude-sonnet-4-6,0,1276453582,12764535820007,4,5,50,25,0.5,2,success,,17.427148,6935,1036,7971,3045,0,5,0,5,1,3,1,2,0,1,1,0,4,0,0.75,0.6,0.6666666666666665,1.0,1.0,1.0,0.5,0.4,0.4444444444444445,4,1.0
20260423T062524Z,2026-04-23T06:26:20.946400+00:00,active,llm_stats,claude-sonnet-4-6,0,1276453582,12764535820007,4,5,50,25,0.5,2,success,,45.118373,24163,2571,26734,3290,0,5,0,5,1,3,0,7,6,0,1,0,4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.6,0.6666666666666665,2,1.0
20260423T062524Z,2026-04-23T06:27:06.060759+00:00,active,oracle,baseline,0,1276453582,12764535820007,4,5,50,25,0.5,2,success,,0.000327,0,0,0,0,0,5,0,5,1,3,0,0,0,0,0,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260423T062524Z,2026-04-23T06:27:06.078433+00:00,observational,pc,baseline,0,27998312,279983120007,4,5,50,25,0.5,2,success,,0.006683,0,0,0,0,0,5,0,5,1,3,0,0,0,0,0,0,0,3,1.0,0.6,0.7499999999999999,1.0,1.0,1.0,1.0,0.0,0.0,5,1.0
20260423T062524Z,2026-04-23T06:27:06.101522+00:00,observational,llm_raw_obs,claude-sonnet-4-6,0,27998312,279983120007,4,5,50,25,0.5,2,success,,8.261928,3024,480,3504,0,0,5,0,5,1,3,0,1,0,0,1,0,3,0,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
20260423T062524Z,2026-04-23T06:27:14.375750+00:00,observational,llm_stats_obs,claude-sonnet-4-6,0,27998312,279983120007,4,5,50,25,0.5,2,success,,16.854325,9927,1001,10928,0,0,5,0,5,1,3,0,3,2,0,1,0,3,0,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,0.0,0.0,0.0,6,1.0
