panel,level,method,model,n_total,n_success,n_failed,skeleton_f1_mean,skeleton_f1_std,skeleton_f1_ci95_low,skeleton_f1_ci95_high,directed_f1_mean,directed_f1_std,directed_f1_ci95_low,directed_f1_ci95_high,dag_shd_mean,dag_shd_std,dag_shd_ci95_low,dag_shd_ci95_high,efficiency_mean,efficiency_std,efficiency_ci95_low,efficiency_ci95_high,submit_directed_mean,submit_undirected_mean,interventions_used_mean,total_actions_mean,stats_actions_mean,intervene_actions_mean,submit_actions_mean,sanitized_overlap_count_mean
active,0,llm_raw,claude-sonnet-4-6,8,8,0,0.6375,0.12653815535997345,0.5498135320208033,0.7251864679791966,0.29444444444444445,0.33507481593687743,0.0622494433817202,0.5266394455071687,4.625,1.5979898086569353,3.517649558631054,5.732350441368946,0.875,0.23145502494313785,0.7146098506765456,1.0353901493234543,3.875,0.0,1.25,2.25,0.0,1.25,1.0,0.0
active,0,llm_stats,claude-sonnet-4-6,8,8,0,0.7638888888888888,0.15853162186855702,0.6540320797302458,0.8737456980475319,0.26388888888888884,0.2187224409447725,0.1123219701229605,0.41545580765481716,4.25,1.3887301496588271,3.2876591040592738,5.212340895940726,1.0,0.0,1.0,1.0,3.25,0.5,0.0,7.5,6.5,0.0,1.0,0.0
active,0,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,0,pc_greedy,baseline,8,8,0,0.7971230158730159,0.11419508366291012,0.7179898601975312,0.8762561715485007,0.6512896825396826,0.22130355035754992,0.49793414620437004,0.8046452188749951,2.25,1.0350983390135313,1.5327134463828282,2.9672865536171718,0.75,0.2672612419124244,0.5647974082254786,0.9352025917745214,3.375,0.0,1.25,0.0,0.0,0.0,0.0,0.0
active,1,llm_raw,claude-sonnet-4-6,8,8,0,0.5860139860139859,0.1864748583987419,0.45679350185732537,0.7152344701706465,0.28446969696969693,0.24074329288885585,0.11764310634134562,0.45129628759804824,6.25,2.187627547301936,4.73405145206046,7.76594854793954,1.0,0.0,1.0,1.0,4.875,0.125,1.375,2.375,0.0,1.375,1.0,0.0
active,1,llm_stats,claude-sonnet-4-6,8,8,0,0.6859848484848485,0.2310873946574451,0.5258494539520173,0.8461202430176797,0.33194444444444443,0.1734022553246511,0.21178281204360455,0.4521060768452843,5.5,1.5118578920369088,4.4523359317032964,6.5476640682967036,1.0,0.0,1.0,1.0,3.25,1.5,0.0,8.0,7.0,0.0,1.0,0.0
active,1,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,1,pc_greedy,baseline,8,8,0,0.6875,0.10828753610730314,0.612460565922532,0.762539434077468,0.49722222222222223,0.24743837527570958,0.325756176200651,0.6686882682437935,3.75,1.2817398889233114,2.861799572168534,4.638200427831467,0.875,0.23145502494313785,0.7146098506765456,1.0353901493234543,3.375,0.0,1.125,0.0,0.0,0.0,0.0,0.0
active,2,llm_raw,claude-sonnet-4-6,8,8,0,0.5666958041958041,0.1972673964607019,0.42999647272631425,0.703395135665294,0.36931818181818177,0.30302353888554545,0.15933358259716943,0.5793027810391941,5.875,2.295181287579947,4.284520512549753,7.465479487450247,1.0,0.0,1.0,1.0,5.0,0.25,1.5,2.5,0.0,1.5,1.0,0.0
active,2,llm_stats,claude-sonnet-4-6,8,7,1,0.6282312925170068,0.1146524256455274,0.5432955869858578,0.7131669980481559,0.29740259740259745,0.20972987255316036,0.14203253352505607,0.4527726612801388,6.571428571428571,1.7182493859684491,5.298531613043225,7.844325529813918,1.0,0.0,1.0,1.0,4.142857142857143,1.8571428571428572,0.0,6.714285714285714,5.714285714285714,0.0,1.0,0.14285714285714285
active,2,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,2,pc_greedy,baseline,8,8,0,0.46726190476190477,0.1259479764671036,0.37998440989002435,0.5545393996337852,0.306547619047619,0.23883812675879615,0.1410412411913228,0.47205399690391525,4.75,1.0350983390135313,4.032713446382828,5.467286553617172,0.9375,0.1767766952966369,0.8150000000000001,1.06,1.875,0.0,1.25,0.0,0.0,0.0,0.0,0.0
active,3,llm_raw,claude-sonnet-4-6,8,8,0,0.5135334576414298,0.08492451917637159,0.45468376831078283,0.5723831469720767,0.29741464568283454,0.11314333321963689,0.21901031588049322,0.37581897548517584,10.875,1.3562026818605375,9.935199489253172,11.814800510746828,1.0,0.0,1.0,1.0,8.625,0.625,1.25,2.25,0.0,1.25,1.0,0.0
