level_set,level,instance_index,seed,sample_index,d,k,M,rho,n_obs,n_int,noise_var,budget_slack,sampled_edges,expected_f1,midpoint_envelope,directed_f1,dag_shd
v0_like_density_probe,0,0,20260427,0,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.0,5.0
v0_like_density_probe,0,0,20260427,1,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,0,20260427,2,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,0,20260427,3,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,0,20260427,4,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.4444444444444444,4.0
v0_like_density_probe,0,0,20260427,5,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,0,20260427,6,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.4,3.0
v0_like_density_probe,0,0,20260427,7,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.4,3.0
v0_like_density_probe,0,0,20260427,8,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.4,3.0
v0_like_density_probe,0,0,20260427,9,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,0,20260427,10,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.0,5.0
v0_like_density_probe,0,0,20260427,11,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.28571428571428575,4.0
v0_like_density_probe,0,0,20260427,12,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.28571428571428575,4.0
v0_like_density_probe,0,0,20260427,13,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,0,20260427,14,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,0,20260427,15,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,0,20260427,16,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.2222222222222222,5.0
v0_like_density_probe,0,0,20260427,17,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.28571428571428575,5.0
v0_like_density_probe,0,0,20260427,18,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.0,5.0
v0_like_density_probe,0,0,20260427,19,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,0,20260427,20,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.4444444444444444,4.0
v0_like_density_probe,0,0,20260427,21,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.4,2.0
v0_like_density_probe,0,0,20260427,22,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.2222222222222222,5.0
v0_like_density_probe,0,0,20260427,23,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.0,5.0
