level_set,level,d,k,M,rho,n_obs,n_int,noise_var,budget_slack,expected_f1,midpoint_envelope,measured_f1_mean,measured_f1_std,measured_shd_mean,sampled_edges_mean,n,measured_f1_se,gap_measured_minus_expected,monotone_violation
d7_grid,0,7,7,21,0.3333333333333333,50,15,1.0,1,0.17666367768538524,0.2,0.17852575495152348,0.14081734616046052,12.27375,10.5625,1600,0.003520433654011513,0.00186207726613824,False
d7_grid,1,7,7,21,0.3333333333333333,25,15,1.0,1,0.17666367768538524,0.2,0.173803394454192,0.13941698254319695,12.15125,10.3225,1600,0.003485424563579924,-0.0028602832311932502,False
d7_grid,2,7,7,21,0.3333333333333333,15,15,1.0,1,0.17666367768538524,0.2,0.16988146685212616,0.13714548742889632,12.336875,10.458125,1600,0.003428637185722408,-0.006782210833259084,False
d7_grid,3,7,6,21,0.2857142857142857,50,15,1.0,1,0.16040596727905854,0.18181818181818182,0.15500524048483524,0.12770415390759288,12.069375,10.495,1600,0.003192603847689822,-0.005400726794223293,False
d7_grid,4,7,6,21,0.2857142857142857,25,15,1.0,1,0.16040596727905854,0.18181818181818182,0.16061646555291012,0.13030073413348311,11.9575,10.41375,1600,0.003257518353337078,0.0002104982738515837,False
d7_grid,5,7,6,21,0.2857142857142857,15,15,1.0,1,0.16040596727905854,0.18181818181818182,0.15792367028847795,0.1361340179773536,11.975,10.438125,1600,0.0034033504494338403,-0.0024822969905805847,False
v0_like_density_probe,0,4,3,6,0.5,50,25,0.5,2,0.21522108843537416,0.25,0.22196626984126983,0.22670647388910053,3.76,3.060625,1600,0.005667661847227513,0.006745181405895667,False
v0_like_density_probe,1,6,6,15,0.4,25,15,1.0,1,0.1956961942855906,0.22222222222222224,0.19232723988795,0.16392963864100768,8.975,7.424375,1600,0.004098240966025192,-0.0033689543976405945,False
v0_like_density_probe,2,8,9,28,0.32142857142857145,25,15,1.0,1,0.17342111384467196,0.1956521739130435,0.17646320601134008,0.12248998960019737,16.376875,14.22625,1600,0.0030622497400049345,0.00304209216666812,False
v0_like_density_probe,3,10,12,45,0.26666666666666666,25,15,1.0,1,0.15472678008892696,0.1739130434782609,0.15268809513303064,0.10110149839651668,25.250625,22.07375,1600,0.002527537459912917,-0.0020386849558963194,False
v0_like_density_probe,4,12,14,66,0.21212121212121213,25,15,1.0,1,0.13298785104769217,0.14893617021276595,0.13504124633232908,0.08179024162264041,36.71875,33.433125,1600,0.00204475604056601,0.002053395284636911,False
v0_like_density_probe,5,10,12,45,0.26666666666666666,15,10,1.5,0,0.15472678008892696,0.1739130434782609,0.15550707098749877,0.09608216143589642,25.63375,22.714375,1600,0.0024020540358974103,0.0007802908985718171,True
