level_set,level,instance_index,seed,sample_index,d,k,M,rho,n_obs,n_int,noise_var,budget_slack,sampled_edges,expected_f1,midpoint_envelope,directed_f1,dag_shd
v0_like_density_probe,0,0,20260427,0,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.0,5.0
v0_like_density_probe,0,0,20260427,1,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,0,20260427,2,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,0,20260427,3,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,0,20260427,4,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.4444444444444444,4.0
v0_like_density_probe,0,1,20260428,0,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.0,5.0
v0_like_density_probe,0,1,20260428,1,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.4,3.0
v0_like_density_probe,0,1,20260428,2,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.3333333333333333,3.0
v0_like_density_probe,0,1,20260428,3,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,1,20260428,4,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.2222222222222222,5.0
v0_like_density_probe,1,0,20360427,0,6,6,15,0.4,25,15,1.0,1,15,0.1956961942855906,0.22222222222222224,0.28571428571428575,12.0
v0_like_density_probe,1,0,20360427,1,6,6,15,0.4,25,15,1.0,1,0,0.1956961942855906,0.22222222222222224,0.0,6.0
v0_like_density_probe,1,0,20360427,2,6,6,15,0.4,25,15,1.0,1,12,0.1956961942855906,0.22222222222222224,0.2222222222222222,12.0
v0_like_density_probe,1,0,20360427,3,6,6,15,0.4,25,15,1.0,1,0,0.1956961942855906,0.22222222222222224,0.0,6.0
v0_like_density_probe,1,0,20360427,4,6,6,15,0.4,25,15,1.0,1,12,0.1956961942855906,0.22222222222222224,0.4444444444444444,8.0
v0_like_density_probe,1,1,20360428,0,6,6,15,0.4,25,15,1.0,1,10,0.1956961942855906,0.22222222222222224,0.125,12.0
v0_like_density_probe,1,1,20360428,1,6,6,15,0.4,25,15,1.0,1,8,0.1956961942855906,0.22222222222222224,0.28571428571428575,7.0
v0_like_density_probe,1,1,20360428,2,6,6,15,0.4,25,15,1.0,1,0,0.1956961942855906,0.22222222222222224,0.0,6.0
v0_like_density_probe,1,1,20360428,3,6,6,15,0.4,25,15,1.0,1,12,0.1956961942855906,0.22222222222222224,0.3333333333333333,9.0
v0_like_density_probe,1,1,20360428,4,6,6,15,0.4,25,15,1.0,1,12,0.1956961942855906,0.22222222222222224,0.1111111111111111,13.0
v0_like_density_probe,2,0,20460427,0,8,9,28,0.32142857142857145,25,15,1.0,1,14,0.17342111384467196,0.1956521739130435,0.0,20.0
v0_like_density_probe,2,0,20460427,1,8,9,28,0.32142857142857145,25,15,1.0,1,14,0.17342111384467196,0.1956521739130435,0.43478260869565216,13.0
v0_like_density_probe,2,0,20460427,2,8,9,28,0.32142857142857145,25,15,1.0,1,6,0.17342111384467196,0.1956521739130435,0.26666666666666666,11.0
