level_set,level,d,k,M,rho,n_obs,n_int,noise_var,budget_slack,expected_f1,midpoint_envelope,measured_f1_mean,measured_f1_std,measured_shd_mean,sampled_edges_mean,n,measured_f1_se,gap_measured_minus_expected,monotone_violation
d7_grid,0,7,7,21,0.3333333333333333,50,15,1.0,1,0.17666367768538524,0.2,0.19385153735153735,0.11321304026377914,13.2,12.3,10,0.0358011068065892,0.017187859666152105,False
d7_grid,1,7,7,21,0.3333333333333333,25,15,1.0,1,0.17666367768538524,0.2,0.19167100210578472,0.19062816711983957,12.2,10.5,10,0.060281919428191305,0.015007324420399482,False
d7_grid,2,7,7,21,0.3333333333333333,15,15,1.0,1,0.17666367768538524,0.2,0.133305020261542,0.13562704807464698,12.0,9.6,10,0.042889038424103895,-0.04335865742384323,False
d7_grid,3,7,6,21,0.2857142857142857,50,15,1.0,1,0.16040596727905854,0.18181818181818182,0.1230048309178744,0.16130451710344387,10.3,7.9,10,0.05100896709204688,-0.03740113636118414,False
d7_grid,4,7,6,21,0.2857142857142857,25,15,1.0,1,0.16040596727905854,0.18181818181818182,0.1462426984779926,0.12197550304883369,12.7,11.4,10,0.03857204083791268,-0.014163268801065942,True
d7_grid,5,7,6,21,0.2857142857142857,15,15,1.0,1,0.16040596727905854,0.18181818181818182,0.156835930953578,0.14166044736382272,12.0,10.1,10,0.044796966802807515,-0.00357003632548053,True
v0_like_density_probe,0,4,3,6,0.5,50,25,0.5,2,0.21522108843537416,0.25,0.13999999999999999,0.1891573981159678,4.0,3.1,10,0.05981682143177012,-0.07522108843537417,False
v0_like_density_probe,1,6,6,15,0.4,25,15,1.0,1,0.1956961942855906,0.22222222222222224,0.18075396825396825,0.15724740100210585,9.1,8.1,10,0.049725994330849815,-0.014942226031622347,True
v0_like_density_probe,2,8,9,28,0.32142857142857145,25,15,1.0,1,0.17342111384467196,0.1956521739130435,0.16039223067356062,0.13630994958722362,17.2,14.2,10,0.043104990843835525,-0.013028883171111338,False
v0_like_density_probe,3,10,12,45,0.26666666666666666,25,15,1.0,1,0.15472678008892696,0.1739130434782609,0.11203343153236862,0.09122868743215459,26.1,22.2,10,0.028849044023318626,-0.04269334855655833,False
v0_like_density_probe,4,12,14,66,0.21212121212121213,25,15,1.0,1,0.13298785104769217,0.14893617021276595,0.12670972046528572,0.08365437361632388,41.6,40.2,10,0.026453835686228007,-0.006278130582406449,True
v0_like_density_probe,5,10,12,45,0.26666666666666666,15,10,1.5,0,0.15472678008892696,0.1739130434782609,0.17075151762596003,0.1252097315506843,29.0,28.4,10,0.03959479369184088,0.016024737537033068,True
