level,panel,method,n,skeleton_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,submit_directed,submit_undirected,interventions_used
0,active,pc_greedy,8,0.975,0.8333333333333334,0.7916666666666666,0.8083333333333333,0.625,0.625,2.875,0.0,1.75
0,observational,pc,8,0.975,0.875,0.0,0.0,3.0,1.0,0.25,2.625,0.0
1,active,pc_greedy,8,0.8477272727272727,0.8875,0.7083333333333334,0.7863636363636364,2.0,0.7916666666666666,4.75,0.125,2.0
1,observational,pc,8,0.8477272727272727,0.9583333333333334,0.1875,0.2638888888888889,5.125,1.0,1.25,3.625,0.0
2,active,pc_greedy,8,0.7403186274509804,0.7660714285714285,0.5,0.6007878151260504,5.0,0.7916666666666666,6.0,0.125,2.0
2,observational,pc,8,0.7403186274509804,0.6883928571428571,0.20833333333333331,0.2710726773226773,7.625,1.0,3.0,3.125,0.0
3,active,pc_greedy,8,0.779334700387332,0.8517857142857143,0.5416666666666667,0.6507327811507378,6.125,0.6979166666666666,7.875,0.875,2.375
3,observational,pc,8,0.779334700387332,0.8353174603174603,0.2604166666666667,0.3447368421052632,9.5,1.0,4.25,4.5,0.0
4,active,pc_greedy,8,0.7747315546772069,0.8385371572871573,0.5357142857142857,0.65078933747412,6.875,1.0,8.875,0.625,2.625
4,observational,pc,8,0.7747315546772069,0.7572916666666667,0.25,0.36637055539919317,10.875,1.0,4.625,4.875,0.0
5,active,pc_greedy,8,0.7590740389878321,0.7738563519813519,0.46875,0.5755411661052591,9.375,1.0,9.5,1.75,2.25
5,observational,pc,8,0.7590740389878321,0.6245039682539683,0.2421875,0.3336530638189677,13.0,1.0,5.75,5.5,0.0
overall,active,pc_greedy,48,0.8126976990384374,0.8251806642431642,0.5910218253968255,0.6787580115921895,5.0,0.8177083333333334,6.645833333333333,0.5833333333333334,2.1666666666666665
overall,observational,pc,48,0.8126976990384374,0.7898065476190476,0.19140625,0.26328700458916504,8.1875,1.0,3.1875,4.041666666666667,0.0
