d,k,rho,n_obs,mean_undirected_fraction,std_undirected_fraction,mean_min_partial,mean_power
5,4,0.4,15,0.6875,0.25877458475338283,0.6453918512200235,0.7339601513834899
5,4,0.4,25,0.6875,0.25877458475338283,0.6453918512200235,0.9165622240073211
5,4,0.4,50,0.6875,0.25877458475338283,0.6453918512200235,0.9896134161303632
5,4,0.4,150,0.6875,0.25877458475338283,0.6453918512200235,0.9999961685111861
5,4,0.4,600,0.6875,0.25877458475338283,0.6453918512200235,1.0
6,5,0.3333333333333333,15,0.65,0.1414213562373095,0.5649792223624639,0.5870170258959118
6,5,0.3333333333333333,25,0.65,0.1414213562373095,0.5649792223624639,0.8064908465964565
6,5,0.3333333333333333,50,0.65,0.1414213562373095,0.5649792223624639,0.9662404866926377
6,5,0.3333333333333333,150,0.65,0.1414213562373095,0.5649792223624639,0.9999893251470808
6,5,0.3333333333333333,600,0.65,0.1414213562373095,0.5649792223624639,1.0
6,6,0.4,15,0.5,0.12598815766974236,0.5457043663736101,0.5387505768343079
6,6,0.4,25,0.5,0.12598815766974236,0.5457043663736101,0.7603264645151071
6,6,0.4,50,0.5,0.12598815766974236,0.5457043663736101,0.9186989901344418
6,6,0.4,150,0.5,0.12598815766974236,0.5457043663736101,0.9923135611383106
6,6,0.4,600,0.5,0.12598815766974236,0.5457043663736101,0.9999999823892244
7,6,0.2857142857142857,15,0.625,0.07715167498104596,0.5535010031294365,0.5620721143944335
7,6,0.2857142857142857,25,0.625,0.07715167498104596,0.5535010031294365,0.7857634420323687
7,6,0.2857142857142857,50,0.625,0.07715167498104596,0.5535010031294365,0.9634468193641934
7,6,0.2857142857142857,150,0.625,0.07715167498104596,0.5535010031294365,0.9999888182110188
7,6,0.2857142857142857,600,0.625,0.07715167498104596,0.5535010031294365,1.0
7,7,0.3333333333333333,15,0.5178571428571428,0.24071685943031532,0.6039399740306125,0.6353391489274349
7,7,0.3333333333333333,25,0.5178571428571428,0.24071685943031532,0.6039399740306125,0.8532363450961238
7,7,0.3333333333333333,50,0.5178571428571428,0.24071685943031532,0.6039399740306125,0.9816524819635953
7,7,0.3333333333333333,150,0.5178571428571428,0.24071685943031532,0.6039399740306125,0.9999959464120541
7,7,0.3333333333333333,600,0.5178571428571428,0.24071685943031532,0.6039399740306125,1.0
7,8,0.38095238095238093,15,0.59375,0.22903134532822605,0.5496746824216531,0.5547739237762459
7,8,0.38095238095238093,25,0.59375,0.22903134532822605,0.5496746824216531,0.7672125362252552
7,8,0.38095238095238093,50,0.59375,0.22903134532822605,0.5496746824216531,0.933347718617599
7,8,0.38095238095238093,150,0.59375,0.22903134532822605,0.5496746824216531,0.9994918466124088
7,8,0.38095238095238093,600,0.59375,0.22903134532822605,0.5496746824216531,0.9999999999999979
8,7,0.25,15,0.5535714285714286,0.22180678693147102,0.6144158686245513,0.6743137615300188
8,7,0.25,25,0.5535714285714286,0.22180678693147102,0.6144158686245513,0.8658881329894846
8,7,0.25,50,0.5535714285714286,0.22180678693147102,0.6144158686245513,0.9782693511552948
8,7,0.25,150,0.5535714285714286,0.22180678693147102,0.6144158686245513,0.9999928531233476
8,7,0.25,600,0.5535714285714286,0.22180678693147102,0.6144158686245513,1.0
8,8,0.2857142857142857,15,0.421875,0.13258252147247765,0.5426552213189698,0.554220829957407
8,8,0.2857142857142857,25,0.421875,0.13258252147247765,0.5426552213189698,0.7669702193206592
8,8,0.2857142857142857,50,0.421875,0.13258252147247765,0.5426552213189698,0.9080117758911705
8,8,0.2857142857142857,150,0.421875,0.13258252147247765,0.5426552213189698,0.982374761754565
8,8,0.2857142857142857,600,0.421875,0.13258252147247765,0.5426552213189698,0.9999982559556873
8,9,0.32142857142857145,15,0.4305555555555555,0.0927247733773645,0.528881627535421,0.48522987514706933
8,9,0.32142857142857145,25,0.4305555555555555,0.0927247733773645,0.528881627535421,0.7324284954562956
8,9,0.32142857142857145,50,0.4305555555555555,0.0927247733773645,0.528881627535421,0.9488369319410153
8,9,0.32142857142857145,150,0.4305555555555555,0.0927247733773645,0.528881627535421,0.9999271165077027
8,9,0.32142857142857145,600,0.4305555555555555,0.0927247733773645,0.528881627535421,1.0
8,10,0.35714285714285715,15,0.4125,0.08345229603962802,0.5193974307551233,0.47428346213163497
8,10,0.35714285714285715,25,0.4125,0.08345229603962802,0.5193974307551233,0.7015689910642264
8,10,0.35714285714285715,50,0.4125,0.08345229603962802,0.5193974307551233,0.9205257202799877
8,10,0.35714285714285715,150,0.4125,0.08345229603962802,0.5193974307551233,0.9995526870719108
8,10,0.35714285714285715,600,0.4125,0.08345229603962802,0.5193974307551233,0.9999999999999966
8,11,0.39285714285714285,15,0.48863636363636365,0.1678919931668558,0.4783646306706743,0.4035500138331913
8,11,0.39285714285714285,25,0.48863636363636365,0.1678919931668558,0.4783646306706743,0.6460353121276894
8,11,0.39285714285714285,50,0.48863636363636365,0.1678919931668558,0.4783646306706743,0.8905983984008339
8,11,0.39285714285714285,150,0.48863636363636365,0.1678919931668558,0.4783646306706743,0.9925136666967864
8,11,0.39285714285714285,600,0.48863636363636365,0.1678919931668558,0.4783646306706743,0.9999999863233489
